Province/State,Country/Region,Lat,Long
,Afghanistan,33.93911,67.709953
,Albania,41.1533,20.1683
,Algeria,28.0339,1.6596
,Andorra,42.5063,1.5218
,Angola,-11.2027,17.8739
,Antarctica,-71.9499,23.347
,Antigua and Barbuda,17.0608,-61.7964
,Argentina,-38.4161,-63.6167
,Armenia,40.0691,45.0382
Australian Capital Territory,Australia,-35.4735,149.0124
New South Wales,Australia,-33.8688,151.2093
Northern Territory,Australia,-12.4634,130.8456
Queensland,Australia,-27.4698,153.0251
South Australia,Australia,-34.9285,138.6007
Tasmania,Australia,-42.8821,147.3272
Victoria,Australia,-37.8136,144.9631
Western Australia,Australia,-31.9505,115.8605
,Austria,47.5162,14.5501
,Azerbaijan,40.1431,47.5769
,Bahamas,25.025885,-78.035889
,Bahrain,26.0275,50.55
,Bangladesh,23.685,90.3563
,Barbados,13.1939,-59.5432
,Belarus,53.7098,27.9534
,Belgium,50.8333,4.469936
,Belize,17.1899,-88.4976
,Benin,9.3077,2.3158
,Bhutan,27.5142,90.4336
,Bolivia,-16.2902,-63.5887
,Bosnia and Herzegovina,43.9159,17.6791
,Botswana,-22.3285,24.6849
,Brazil,-14.235,-51.9253
,Brunei,4.5353,114.7277
,Bulgaria,42.7339,25.4858
,Burkina Faso,12.2383,-1.5616
,Burma,21.9162,95.956
,Burundi,-3.3731,29.9189
,Cabo Verde,16.5388,-23.0418
,Cambodia,11.55,104.9167
,Cameroon,3.848,11.5021
Alberta,Canada,53.9333,-116.5765
British Columbia,Canada,53.7267,-127.6476
Diamond Princess,Canada,0,0
Grand Princess,Canada,0,0
Manitoba,Canada,53.7609,-98.8139
New Brunswick,Canada,46.5653,-66.4619
Newfoundland and Labrador,Canada,53.1355,-57.6604
Northwest Territories,Canada,64.8255,-124.8457
Nova Scotia,Canada,44.682,-63.7443
Nunavut,Canada,70.2998,-83.1076
Ontario,Canada,51.2538,-85.3232
Prince Edward Island,Canada,46.5107,-63.4168
Quebec,Canada,52.9399,-73.5491
Repatriated Travellers,Canada,,
Saskatchewan,Canada,52.9399,-106.4509
Yukon,Canada,64.2823,-135
,Central African Republic,6.6111,20.9394
,Chad,15.4542,18.7322
,Chile,-35.6751,-71.543
Anhui,China,31.8257,117.2264
Beijing,China,40.1824,116.4142
Chongqing,China,30.0572,107.874
Fujian,China,26.0789,117.9874
Gansu,China,35.7518,104.2861
Guangdong,China,23.3417,113.4244
Guangxi,China,23.8298,108.7881
Guizhou,China,26.8154,106.8748
Hainan,China,19.1959,109.7453
Hebei,China,39.549,116.1306
Heilongjiang,China,47.862,127.7615
Henan,China,37.8957,114.9042
Hong Kong,China,22.3,114.2
Hubei,China,30.9756,112.2707
Hunan,China,27.6104,111.7088
Inner Mongolia,China,44.0935,113.9448
Jiangsu,China,32.9711,119.455
Jiangxi,China,27.614,115.7221
Jilin,China,43.6661,126.1923
Liaoning,China,41.2956,122.6085
Macau,China,22.1667,113.55
Ningxia,China,37.2692,106.1655
Qinghai,China,35.7452,95.9956
Shaanxi,China,35.1917,108.8701
Shandong,China,36.3427,118.1498
Shanghai,China,31.202,121.4491
Shanxi,China,37.5777,112.2922
Sichuan,China,30.6171,102.7103
Tianjin,China,39.3054,117.323
Tibet,China,31.6927,88.0924
Unknown,China,,
Xinjiang,China,41.1129,85.2401
Yunnan,China,24.974,101.487
Zhejiang,China,29.1832,120.0934
,Colombia,4.5709,-74.2973
,Comoros,-11.6455,43.3333
,Congo (Brazzaville),-0.228,15.8277
,Congo (Kinshasa),-4.0383,21.7587
,Costa Rica,9.7489,-83.7534
,Cote d'Ivoire,7.54,-5.5471
,Croatia,45.1,15.2
,Cuba,21.521757,-77.781167
,Cyprus,35.1264,33.4299
,Czechia,49.8175,15.473
Faroe Islands,Denmark,61.8926,-6.9118
Greenland,Denmark,71.7069,-42.6043
,Denmark,56.2639,9.5018
,Diamond Princess,0,0
,Djibouti,11.8251,42.5903
,Dominica,15.415,-61.371
,Dominican Republic,18.7357,-70.1627
,Ecuador,-1.8312,-78.1834
,Egypt,26.820553,30.802498
,El Salvador,13.7942,-88.8965
,Equatorial Guinea,1.6508,10.2679
,Eritrea,15.1794,39.7823
,Estonia,58.5953,25.0136
,Eswatini,-26.5225,31.4659
,Ethiopia,9.145,40.4897
,Fiji,-17.7134,178.065
,Finland,61.92411,25.748151
French Guiana,France,3.9339,-53.1258
French Polynesia,France,-17.6797,149.4068
Guadeloupe,France,16.265,-61.551
Martinique,France,14.6415,-61.0242
Mayotte,France,-12.8275,45.166244
New Caledonia,France,-20.904305,165.618042
Reunion,France,-21.1151,55.5364
Saint Barthelemy,France,17.9,-62.8333
Saint Pierre and Miquelon,France,46.8852,-56.3159
St Martin,France,18.0708,-63.0501
Wallis and Futuna,France,-14.2938,-178.1165
,France,46.2276,2.2137
,Gabon,-0.8037,11.6094
,Gambia,13.4432,-15.3101
,Georgia,42.3154,43.3569
,Germany,51.165691,10.451526
,Ghana,7.9465,-1.0232
,Greece,39.0742,21.8243
,Grenada,12.1165,-61.679
,Guatemala,15.7835,-90.2308
,Guinea,9.9456,-9.6966
,Guinea-Bissau,11.8037,-15.1804
,Guyana,4.860416,-58.93018
,Haiti,18.9712,-72.2852
,Holy See,41.9029,12.4534
,Honduras,15.2,-86.2419
,Hungary,47.1625,19.5033
,Iceland,64.9631,-19.0208
,India,20.593684,78.96288
,Indonesia,-0.7893,113.9213
,Iran,32.427908,53.688046
,Iraq,33.223191,43.679291
,Ireland,53.1424,-7.6921
,Israel,31.046051,34.851612
,Italy,41.87194,12.56738
