,Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location,Age,Gender,Account_Status
0,1,103,2025-01-01,ATM,BestBuy,Dining,360.1,Credit Card,Pending,San Francisco,25,Female,Inactive
1,2,271,2025-01-01,Online,eBay,Travel,357.02,Credit Card,Declined,Chicago,24,Female,Suspended
2,3,107,2025-01-01,ATM,Amazon,Entertainment,829.41,Credit Card,Pending,Chicago,58,Male,Suspended
3,4,72,2025-01-01,POS,Amazon,Groceries,790.35,Credit Card,Pending,Los Angeles,41,Other,Suspended
4,5,189,2025-01-01,ATM,Amazon,Clothing,311.26,Credit Card,Declined,San Francisco,20,Other,Inactive
5,6,21,2025-01-01,ATM,Walmart,Dining,914.22,Credit Card,Declined,Los Angeles,20,Male,Suspended
6,7,103,2025-01-01,Online,Costco,Groceries,953.05,Debit Card,Pending,San Francisco,25,Female,Inactive
7,8,122,2025-01-01,POS,eBay,Groceries,330.11,Debit Card,Declined,Miami,21,Female,Active
8,9,215,2025-01-01,ATM,Costco,Groceries,357.65,Credit Card,Approved,Los Angeles,52,Female,Inactive
9,10,88,2025-01-01,POS,Walmart,Groceries,508.11,Debit Card,Declined,Los Angeles,56,Male,Inactive
10,11,100,2025-01-01,ATM,Walmart,Travel,941.42,Debit Card,Declined,Los Angeles,36,Male,Inactive
11,12,152,2025-01-01,ATM,Expedia,Entertainment,876.94,Credit Card,Approved,Seattle,34,Other,Inactive
12,13,131,2025-01-01,POS,BestBuy,Health,107.06,Credit Card,Declined,Houston,50,Male,Suspended
13,14,150,2025-01-01,ATM,BestBuy,Travel,395.77,Debit Card,Declined,Los Angeles,48,Other,Active
14,15,258,2025-01-01,POS,Target,Travel,555.6,Credit Card,Pending,New York,23,Male,Inactive
15,16,294,2025-01-01,ATM,Walmart,Dining,505.62,Debit Card,Declined,New York,32,Male,Active
16,17,192,2025-01-01,Online,eBay,Dining,197.89,Credit Card,Declined,San Francisco,50,Male,Active
17,18,277,2025-01-01,POS,Expedia,Entertainment,859.52,Debit Card,Approved,Miami,30,Female,Suspended
18,19,161,2025-01-01,ATM,Expedia,Health,678.56,Debit Card,Pending,Houston,19,Other,Active
19,20,22,2025-01-01,ATM,Costco,Dining,838.72,Debit Card,Pending,Seattle,35,Other,Inactive
20,21,253,2025-01-01,Online,BestBuy,Entertainment,859.47,Debit Card,Pending,San Francisco,25,Female,Active
21,22,236,2025-01-01,POS,Walmart,Entertainment,749.61,Credit Card,Declined,New York,41,Other,Active
22,23,49,2025-01-01,ATM,Target,Electronics,442.01,Credit Card,Pending,Houston,42,Other,Suspended
23,24,59,2025-01-01,Online,Walmart,Health,612.49,Debit Card,Approved,Houston,28,Female,Inactive
24,25,170,2025-01-02,ATM,Costco,Dining,164.56,Debit Card,Pending,Miami,54,Male,Suspended
25,26,188,2025-01-02,POS,Amazon,Health,675.28,Credit Card,Approved,Houston,41,Female,Inactive
26,27,271,2025-01-02,ATM,Walmart,Travel,183.36,Credit Card,Pending,Los Angeles,24,Female,Suspended
27,28,190,2025-01-02,ATM,Costco,Travel,695.48,Debit Card,Pending,Houston,42,Female,Inactive
28,29,175,2025-01-02,ATM,Amazon,Health,233.45,Debit Card,Approved,Miami,50,Male,Suspended
29,30,51,2025-01-02,ATM,Amazon,Electronics,121.96,Debit Card,Pending,San Francisco,59,Other,Inactive
30,31,55,2025-01-02,Online,Target,Electronics,169.46,Debit Card,Pending,Miami,24,Male,Active
31,32,244,2025-01-02,Online,eBay,Health,6.98,Debit Card,Pending,Seattle,18,Other,Active
32,33,131,2025-01-02,POS,BestBuy,Dining,720.15,Credit Card,Declined,Miami,50,Male,Suspended
33,34,135,2025-01-02,Online,Walmart,Clothing,733.74,Debit Card,Approved,New York,35,Other,Active
34,35,21,2025-01-02,Online,Amazon,Electronics,517.36,Credit Card,Pending,Los Angeles,20,Male,Suspended
35,36,167,2025-01-02,POS,Walmart,Groceries,165.56,Credit Card,Approved,New York,69,Female,Inactive
36,37,274,2025-01-02,Online,eBay,Travel,88.14,Credit Card,Approved,San Francisco,69,Female,Active
