Date, Open, High, Low, Close
12/17/25, 48128.05, 48387.33, 47856.79, 47885.97
12/16/25, 48380.17, 48452.17, 47946.25, 48114.26
12/15/25, 48594.36, 48679.14, 48283.27, 48416.56
12/12/25, 48714.75, 48886.86, 48334.10, 48458.05
12/11/25, 48082.90, 48756.34, 48082.90, 48704.01
12/10/25, 47573.96, 48197.30, 47462.94, 48057.75
12/09/25, 47724.52, 47957.79, 47533.60, 47560.29
12/08/25, 47971.51, 47971.51, 47611.93, 47739.32
12/05/25, 47879.60, 48133.54, 47871.51, 47954.99
12/04/25, 47888.16, 48049.72, 47692.96, 47850.94
12/03/25, 47371.62, 47969.64, 47371.62, 47882.90
12/02/25, 47416.91, 47597.11, 47263.92, 47474.46
12/01/25, 47580.85, 47676.03, 47271.11, 47289.33
11/28/25, 47482.25, 47750.77, 47475.61, 47716.42
11/26/25, 47196.15, 47571.40, 47196.15, 47427.12
11/25/25, 46482.36, 47182.90, 46341.35, 47112.45
11/24/25, 46351.93, 46587.71, 46108.01, 46448.27
11/21/25, 45808.65, 46577.50, 45781.58, 46245.41
11/20/25, 46567.51, 46856.75, 45728.93, 45752.26
11/19/25, 46138.68, 46299.13, 45905.19, 46138.77
11/18/25, 46382.92, 46382.92, 45913.60, 46091.74
11/17/25, 47068.06, 47202.56, 46430.27, 46590.24
11/14/25, 47222.38, 47380.07, 46863.05, 47147.48
11/13/25, 48173.92, 48233.25, 47411.10, 47457.22
11/12/25, 48015.79, 48431.57, 48015.79, 48254.82
11/11/25, 47384.51, 47974.37, 47384.51, 47927.96
11/10/25, 47095.06, 47412.89, 46934.35, 47368.63
11/07/25, 46797.03, 46996.71, 46495.62, 46987.10
11/06/25, 47255.12, 47359.29, 46787.44, 46912.30
11/05/25, 47097.31, 47460.36, 47041.31, 47311.00
11/04/25, 47148.04, 47274.90, 46877.06, 47085.24
11/03/25, 47697.33, 47697.33, 47135.96, 47336.68
10/31/25, 47659.96, 47718.38, 47347.28, 47562.87
10/30/25, 47446.88, 48014.92, 47381.91, 47522.12
10/29/25, 47746.79, 48040.64, 47448.59, 47632.00
10/28/25, 47752.35, 47943.16, 47675.70, 47706.37
10/27/25, 47412.80, 47564.52, 47375.96, 47544.59
10/24/25, 46811.51, 47326.73, 46811.51, 47207.12
10/23/25, 46519.13, 46802.15, 46490.06, 46734.61
10/22/25, 46941.56, 46941.56, 46461.52, 46590.41
10/21/25, 46707.08, 47125.66, 46688.25, 46924.74
10/20/25, 46312.88, 46759.27, 46312.88, 46706.58
10/17/25, 45862.37, 46327.07, 45862.37, 46190.61
10/16/25, 46289.09, 46422.34, 45781.18, 45952.24
10/15/25, 46375.17, 46693.34, 46027.23, 46253.31
10/14/25, 45871.89, 46522.67, 45452.03, 46270.46
10/13/25, 45698.46, 46153.49, 45698.46, 46067.58
10/10/25, 46394.88, 46641.74, 45470.72, 45479.60
10/09/25, 46622.31, 46684.41, 46271.40, 46358.42
10/08/25, 46649.32, 46816.28, 46498.39, 46601.78
10/07/25, 46700.90, 46868.49, 46448.02, 46602.98
10/06/25, 46776.04, 46846.45, 46426.96, 46694.97
