Date, Open, High, Low, Close
01/19/24, 37572.50, 37933.73, 37451.71, 37863.80
01/18/24, 37300.81, 37522.29, 37122.95, 37468.61
01/17/24, 37281.86, 37371.66, 37132.89, 37266.67
01/16/24, 37493.54, 37543.18, 37201.39, 37361.12
01/12/24, 37818.05, 37825.27, 37470.19, 37592.98
01/11/24, 37747.14, 37801.90, 37424.28, 37711.02
01/10/24, 37552.91, 37740.77, 37524.40, 37695.73
01/09/24, 37523.55, 37552.38, 37373.30, 37525.16
01/08/24, 37327.37, 37692.92, 37249.24, 37683.01
01/05/24, 37455.46, 37623.62, 37323.82, 37466.11
01/04/24, 37425.28, 37716.41, 37425.28, 37440.34
01/03/24, 37629.23, 37629.23, 37401.85, 37430.19
01/02/24, 37566.22, 37790.08, 37495.91, 37715.04
12/29/23, 37701.63, 37759.43, 37538.80, 37689.54
12/28/23, 37661.52, 37778.85, 37650.98, 37710.10
12/27/23, 37518.62, 37683.70, 37488.60, 37656.52
12/26/23, 37405.90, 37617.99, 37371.83, 37545.33
12/22/23, 37349.27, 37534.52, 37268.88, 37385.97
12/21/23, 37225.32, 37418.76, 37127.05, 37404.35
12/20/23, 37520.13, 37641.30, 37073.04, 37082.00
12/19/23, 37311.82, 37562.83, 37311.82, 37557.92
12/18/23, 37330.14, 37393.45, 37284.85, 37306.02
12/15/23, 37194.50, 37347.60, 37092.02, 37305.16
12/14/23, 37115.63, 37287.50, 37051.52, 37248.35
12/13/23, 36601.80, 37094.85, 36523.59, 37090.24
12/12/23, 36442.10, 36596.11, 36373.22, 36577.94
12/11/23, 36254.33, 36416.18, 36231.19, 36404.93
12/08/23, 36084.82, 36296.20, 36061.64, 36247.87
12/07/23, 36124.17, 36164.17, 36021.95, 36117.38
12/06/23, 36183.73, 36292.58, 36024.25, 36054.43
12/05/23, 36135.65, 36164.68, 36010.85, 36124.56
12/04/23, 36089.38, 36238.18, 36029.69, 36204.44
12/01/23, 35914.45, 36264.85, 35914.45, 36245.50
11/30/23, 35596.57, 35970.70, 35592.22, 35950.89
11/29/23, 35436.80, 35579.13, 35405.89, 35430.42
11/28/23, 35332.13, 35518.67, 35307.73, 35416.98
11/27/23, 35376.44, 35410.37, 35280.57, 35333.47
11/24/23, 35299.90, 35399.44, 35299.90, 35390.15
11/22/23, 35189.33, 35315.20, 35155.80, 35273.03
11/21/23, 35104.84, 35118.04, 35038.44, 35088.29
11/20/23, 34932.49, 35227.48, 34907.98, 35151.04
11/17/23, 34964.82, 35028.22, 34882.82, 34947.28
11/16/23, 34868.03, 35022.46, 34818.03, 34945.47
11/15/23, 34906.72, 35051.10, 34868.48, 34991.21
11/14/23, 34581.20, 34931.01, 34581.20, 34827.70
11/13/23, 34259.25, 34405.84, 34205.81, 34337.87
11/10/23, 34020.82, 34310.36, 33905.62, 34283.10
11/09/23, 34163.71, 34167.54, 33859.77, 33891.94
11/08/23, 34185.92, 34252.75, 33996.20, 34112.27
11/07/23, 34075.65, 34206.98, 34026.72, 34152.60
11/06/23, 34092.61, 34167.26, 33989.72, 34095.86
11/03/23, 33988.83, 34163.63, 33946.60, 34061.32
11/02/23, 33457.82, 33852.96, 33450.03, 33839.08
11/01/23, 33081.87, 33337.15, 33010.85, 33274.58
10/31/23, 33029.11, 33070.28, 32787.12, 33052.87
10/30/23, 32537.54, 33002.97, 32537.54, 32928.96
10/27/23, 32782.40, 32787.56, 32327.20, 32417.59
10/26/23, 33017.17, 33105.03, 32743.99, 32784.30
10/25/23, 33203.53, 33267.91, 32989.72, 33035.93
10/24/23, 33089.64, 33272.19, 32988.43, 33141.38
10/23/23, 32993.02, 33234.85, 32892.19, 32936.41
