,Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location,Year,Month,Day
0,100000,4452,2023-01-01,Online,Walmart,Travel,4520.7,Debit Card,Approved,Jonesport,2023,1,1
3,100003,4545,2023-01-01,Online,BestBuy,Travel,2659.96,Debit Card,Approved,Hawkinston,2023,1,1
18,100018,4438,2023-01-01,Online,BestBuy,Dining,2930.38,UPI,Approved,Johnsonside,2023,1,1
22,100022,3057,2023-01-01,Online,BestBuy,Groceries,4094.49,PayPal,Approved,West Kenneth,2023,1,1
26,100026,4254,2023-01-02,Online,BestBuy,Travel,4054.78,Credit Card,Approved,Stevensmouth,2023,1,2
27,100027,1719,2023-01-02,Online,Walmart,Entertainment,4471.68,UPI,Pending,Riveramouth,2023,1,2
29,100029,4073,2023-01-02,Online,BestBuy,Clothing,2905.62,Credit Card,Approved,Annaland,2023,1,2
34,100034,2424,2023-01-02,Online,Target,Groceries,4074.73,PayPal,Approved,North Marytown,2023,1,2
45,100045,2961,2023-01-02,Online,Target,Groceries,4156.79,UPI,Pending,Ashleyhaven,2023,1,2
47,100047,1161,2023-01-02,Online,Amazon,Groceries,3471.17,PayPal,Approved,Gutierrezhaven,2023,1,2
61,100061,4328,2023-01-03,Online,Uber,Electronics,2805.62,UPI,Approved,Jonesland,2023,1,3
70,100070,4784,2023-01-03,Online,Target,Electronics,3425.56,PayPal,Declined,New Teresafurt,2023,1,3
72,100072,3787,2023-01-04,Online,Walmart,Electronics,3755.97,Credit Card,Approved,Daniellefort,2023,1,4
76,100076,3238,2023-01-04,Online,Apple Store,Electronics,3999.07,PayPal,Approved,North Ryan,2023,1,4
79,100079,1391,2023-01-04,Online,Target,Entertainment,4634.83,UPI,Declined,Rogershaven,2023,1,4
84,100084,4833,2023-01-04,Online,Netflix,Groceries,2911.11,Debit Card,Approved,Lisamouth,2023,1,4
92,100092,3354,2023-01-04,Online,Apple Store,Entertainment,4643.83,Credit Card,Declined,Kellyland,2023,1,4
96,100096,4578,2023-01-05,Online,Apple Store,Entertainment,2988.07,Credit Card,Approved,Melissaville,2023,1,5
113,100113,2701,2023-01-05,Online,Walmart,Electronics,4439.55,Credit Card,Approved,New Nicholashaven,2023,1,5
118,100118,1496,2023-01-05,Online,BestBuy,Travel,3538.75,PayPal,Approved,Brooksmouth,2023,1,5
120,100120,4518,2023-01-06,Online,Netflix,Electronics,3529.09,Debit Card,Approved,West John,2023,1,6
121,100121,4513,2023-01-06,Online,Walmart,Dining,3722.03,Credit Card,Approved,South Scotthaven,2023,1,6
123,100123,3678,2023-01-06,Online,Target,Dining,3714.06,Credit Card,Approved,Lake Javierland,2023,1,6
125,100125,3113,2023-01-06,Online,Netflix,Entertainment,3603.82,UPI,Approved,West Jonathan,2023,1,6
138,100138,1033,2023-01-06,Online,Amazon,Dining,4056.71,UPI,Approved,West Mark,2023,1,6
155,100155,3351,2023-01-07,Online,Target,Electronics,3075.07,Debit Card,Approved,Lake Aaronside,2023,1,7
170,100170,1855,2023-01-08,Online,Apple Store,Dining,4298.4,UPI,Approved,Marytown,2023,1,8
174,100174,2898,2023-01-08,Online,Amazon,Travel,3630.95,Credit Card,Approved,East Jonathanfurt,2023,1,8
176,100176,2016,2023-01-08,Online,Target,Dining,3089.63,PayPal,Approved,East Kristenhaven,2023,1,8
180,100180,3929,2023-01-08,Online,Uber,Travel,4947.09,UPI,Approved,Port Scottshire,2023,1,8
182,100182,3574,2023-01-08,Online,Uber,Electronics,3036.72,PayPal,Approved,South Elizabethville,2023,1,8
187,100187,4934,2023-01-08,Online,Walmart,Travel,3856.9,Debit Card,Approved,Lake Steven,2023,1,8
197,100197,4154,2023-01-09,Online,Uber,Travel,4386.11,PayPal,Pending,East Melissafurt,2023,1,9
200,100200,2340,2023-01-09,Online,Amazon,Dining,4456.24,Credit Card,Pending,Finleybury,2023,1,9
215,100215,2146,2023-01-09,Online,BestBuy,Dining,4838.06,UPI,Approved,North Kelseytown,2023,1,9
223,100223,3757,2023-01-10,Online,Netflix,Travel,2593.37,Credit Card,Approved,Allenmouth,2023,1,10
224,100224,2220,2023-01-10,Online,Target,Dining,3912.24,Credit Card,Approved,East Davidborough,2023,1,10
225,100225,4799,2023-01-10,Online,Apple Store,Electronics,3738.61,Credit Card,Approved,East Jesusside,2023,1,10
238,100238,4763,2023-01-10,Online,Apple Store,Electronics,2877.61,PayPal,Declined,Port Debbietown,2023,1,10
251,100251,4684,2023-01-11,Online,Walmart,Travel,3931.67,UPI,Approved,Nashfurt,2023,1,11
266,100266,1496,2023-01-12,Online,Target,Electronics,4333.74,PayPal,Approved,Loritown,2023,1,12
268,100268,2756,2023-01-12,Online,Target,Dining,2829.97,Debit Card,Approved,Evelynburgh,2023,1,12
