ID,Experience_Years,Age,Gender,Salary
1,5,28,Female,250000
2,1,21,Male,50000
3,3,23,Female,170000
4,2,22,Male,25000
5,1,17,Male,10000
6,25,62,Male,5001000
7,19,54,Female,800000
8,2,21,Female,9000
9,10,36,Female,61500
10,15,54,Female,650000
11,4,26,Female,250000
12,6,29,Male,1400000
13,14,39,Male,6000050
14,11,40,Male,220100
15,2,23,Male,7500
16,4,27,Female,87000
17,10,34,Female,930000
18,15,54,Female,7900000
19,2,21,Male,15000
20,10,36,Male,330000
21,15,54,Male,6570000
22,4,26,Male,25000
23,5,29,Male,6845000
24,1,21,Female,6000
25,4,23,Female,8900
26,3,22,Female,20000
27,1,18,Male,3000
28,27,62,Female,10000000
29,19,54,Female,5000000
30,2,21,Female,6100
31,10,34,Male,80000
32,15,54,Male,900000
33,20,55,Female,1540000
34,19,53,Female,9300000
35,16,49,Male,7600000
