Voter_ID,Age,Income,Education_Level,Gender,Employment_Status,Marital_Status,Children,Own_House,City_Type,Political_Interest,Voting_History,Internet_Usage_Hours,TV_Watch_Hours,News_Following,Preferred_News_Source,Religious,Environmental_Concern,Trust_in_Government,Party_Vote
1,69,124575,No Formal Education,Female,Unemployed,Divorced,5,Yes,Suburban,High,Rarely,7,9,Regularly,Social Media,Yes,Medium,High,NO
2,32,125904,High School,Male,Student,Single,3,Yes,Urban,High,Always,1,3,Never,Social Media,Yes,Medium,Medium,NO
3,89,45678,PhD,Female,Unemployed,Divorced,0,Yes,Rural,Low,Rarely,7,3,Never,Social Media,Yes,Low,Medium,YES
4,78,91218,PhD,Female,Retired,Widowed,4,Yes,Urban,High,Often,3,7,Regularly,Newspaper,Yes,Low,High,NO
5,38,78230,Bachelor,Other,Retired,Widowed,0,No,Rural,Medium,Rarely,9,0,Occasionally,Social Media,Yes,Low,High,YES
6,41,89055,Bachelor,Male,Self-employed,Widowed,1,Yes,Urban,High,Never,9,7,Never,Internet,Yes,Medium,High,NO
7,20,87258,Bachelor,Other,Self-employed,Single,5,No,Rural,High,Often,0,4,Regularly,Newspaper,Yes,Medium,Medium,NO
8,39,54986,PhD,Other,Employed,Widowed,3,Yes,Urban,Low,Always,4,0,Regularly,TV,Yes,High,Low,YES
9,70,100595,High School,Female,Retired,Single,5,Yes,Rural,Medium,Never,0,3,Occasionally,Newspaper,No,High,Medium,YES
10,19,116358,High School,Male,Self-employed,Divorced,0,Yes,Rural,Low,Often,6,1,Regularly,Internet,Yes,High,High,YES
11,47,79929,Bachelor,Female,Unemployed,Widowed,4,Yes,Rural,High,Never,7,3,Never,Social Media,Yes,Medium,Low,NO
12,55,88506,No Formal Education,Male,Student,Divorced,1,No,Rural,Low,Often,2,7,Never,Newspaper,No,Low,Medium,YES
13,19,49911,High School,Other,Unemployed,Married,1,No,Rural,Low,Never,2,4,Regularly,Social Media,No,Low,High,NO
14,81,102127,PhD,Male,Student,Divorced,5,Yes,Suburban,Low,Never,6,0,Never,Newspaper,No,Low,Medium,NO
15,77,128453,Master,Female,Self-employed,Married,4,No,Rural,Low,Often,3,6,Regularly,Internet,No,Medium,Low,YES
16,38,99458,Master,Female,Employed,Divorced,4,No,Suburban,High,Always,2,0,Never,Newspaper,No,Low,High,NO
17,50,27175,Master,Female,Unemployed,Single,0,Yes,Rural,High,Always,7,8,Occasionally,Social Media,No,High,Medium,NO
18,75,134235,No Formal Education,Male,Unemployed,Divorced,5,Yes,Suburban,Medium,Never,2,2,Never,Social Media,Yes,High,Low,YES
19,39,69771,Bachelor,Other,Unemployed,Single,5,No,Suburban,Low,Never,6,2,Occasionally,Internet,No,Low,Low,NO
20,66,142157,PhD,Other,Student,Single,2,No,Urban,Low,Always,1,5,Occasionally,Newspaper,No,High,Medium,NO
21,76,136300,No Formal Education,Male,Self-employed,Widowed,5,No,Rural,Medium,Always,0,9,Regularly,TV,No,Low,Low,YES
22,59,101925,PhD,Female,Unemployed,Single,1,No,Urban,Low,Rarely,5,5,Occasionally,Newspaper,Yes,Low,High,YES
23,77,81358,PhD,Other,Unemployed,Married,0,Yes,Urban,Medium,Always,7,5,Never,Internet,No,High,Low,NO
24,32,62057,Bachelor,Female,Employed,Widowed,4,Yes,Rural,High,Never,0,0,Never,TV,Yes,High,Medium,NO
25,79,21150,Master,Male,Employed,Widowed,5,No,Urban,Medium,Often,9,4,Occasionally,Internet,No,High,High,NO
26,79,19425,Bachelor,Female,Self-employed,Divorced,0,Yes,Rural,Low,Always,8,5,Regularly,Newspaper,No,High,Low,NO
27,64,31032,No Formal Education,Other,Self-employed,Single,5,No,Urban,Medium,Rarely,2,7,Occasionally,TV,Yes,Low,Low,YES
28,79,17198,No Formal Education,Other,Retired,Single,4,No,Rural,High,Rarely,2,0,Never,Internet,Yes,High,High,NO
29,68,133865,No Formal Education,Female,Employed,Married,3,Yes,Rural,Low,Rarely,3,4,Never,Social Media,No,High,High,NO
30,72,38236,Bachelor,Male,Retired,Divorced,4,No,Rural,High,Often,0,2,Occasionally,TV,Yes,Medium,Low,NO
31,81,102955,PhD,Female,Student,Divorced,4,No,Suburban,High,Always,8,1,Occasionally,TV,Yes,High,High,NO
32,20,118145,PhD,Male,Retired,Widowed,4,Yes,Urban,Medium,Always,2,7,Occasionally,Internet,No,High,Medium,YES
33,68,109914,High School,Female,Unemployed,Widowed,5,Yes,Suburban,High,Always,9,6,Never,Social Media,No,Low,Low,NO
34,24,117870,No Formal Education,Other,Retired,Widowed,2,No,Urban,Low,Often,3,9,Never,TV,No,Low,Medium,YES
35,38,131243,PhD,Male,Self-employed,Married,4,No,Urban,High,Often,0,6,Never,Internet,Yes,Medium,Low,YES
36,56,29596,High School,Male,Student,Married,1,Yes,Urban,High,Never,3,4,Regularly,TV,No,High,Medium,YES
37,35,147351,PhD,Male,Unemployed,Widowed,1,No,Suburban,Medium,Rarely,0,8,Never,TV,No,High,Medium,YES
38,21,126496,No Formal Education,Other,Retired,Divorced,0,No,Urban,High,Rarely,4,4,Never,TV,Yes,High,High,YES
39,77,145273,Master,Female,Student,Married,2,Yes,Suburban,Medium,Always,4,1,Regularly,Social Media,Yes,High,Low,NO
40,31,135674,No Formal Education,Other,Student,Divorced,0,Yes,Rural,Medium,Often,6,2,Regularly,Newspaper,No,High,High,YES
41,26,135307,Bachelor,Male,Unemployed,Divorced,1,Yes,Urban,Low,Often,7,3,Regularly,Newspaper,Yes,High,High,YES
42,70,34063,PhD,Female,Retired,Single,1,Yes,Urban,Low,Always,3,4,Regularly,Social Media,No,Medium,Low,YES
43,19,82642,PhD,Other,Student,Widowed,3,Yes,Rural,Low,Always,6,2,Regularly,Social Media,Yes,High,Medium,NO
44,77,105093,Bachelor,Male,Student,Single,4,Yes,Rural,Low,Never,3,6,Regularly,Internet,No,High,Low,YES
45,88,50954,Bachelor,Male,Employed,Widowed,1,No,Urban,Medium,Rarely,2,4,Occasionally,TV,Yes,High,Low,NO
46,61,42856,Master,Other,Student,Widowed,5,No,Rural,High,Rarely,5,4,Occasionally,Social Media,Yes,Medium,Low,YES
47,25,17573,PhD,Other,Employed,Divorced,5,Yes,Suburban,Low,Rarely,3,5,Occasionally,Internet,Yes,High,High,YES
48,64,50367,PhD,Other,Retired,Widowed,0,Yes,Suburban,Low,Never,2,6,Occasionally,Newspaper,Yes,Medium,Low,NO
49,52,114608,Master,Male,Retired,Divorced,0,No,Urban,Low,Always,8,9,Never,Newspaper,No,Low,Low,NO
50,53,75774,High School,Other,Retired,Divorced,4,No,Suburban,High,Always,4,9,Regularly,Newspaper,Yes,High,Low,NO
51,67,38752,Master,Male,Self-employed,Widowed,4,No,Suburban,Low,Rarely,6,7,Never,Newspaper,No,Medium,Medium,YES
52,21,70029,No Formal Education,Other,Retired,Divorced,3,Yes,Urban,High,Rarely,5,8,Regularly,Internet,Yes,Low,Medium,NO
53,19,145282,PhD,Male,Student,Divorced,2,Yes,Rural,Medium,Never,9,3,Regularly,TV,Yes,Medium,Medium,NO
54,23,66693,Bachelor,Male,Unemployed,Divorced,0,No,Urban,Medium,Often,4,4,Never,Internet,No,Medium,Medium,NO
55,71,131739,No Formal Education,Female,Employed,Married,4,Yes,Suburban,Medium,Often,6,4,Occasionally,TV,Yes,Low,High,NO
56,21,70961,PhD,Other,Self-employed,Divorced,0,Yes,Urban,High,Rarely,5,7,Never,Newspaper,Yes,High,High,NO
57,71,141678,Master,Other,Retired,Married,4,Yes,Urban,Low,Never,9,8,Never,Social Media,No,High,Low,YES
58,80,89532,No Formal Education,Male,Retired,Married,1,No,Suburban,Low,Rarely,1,6,Regularly,Social Media,Yes,Medium,High,NO
59,35,96994,PhD,Male,Unemployed,Divorced,0,No,Suburban,Low,Often,2,4,Regularly,Social Media,No,Low,Medium,YES
60,61,71133,High School,Male,Unemployed,Divorced,1,Yes,Urban,Low,Rarely,1,2,Regularly,TV,Yes,High,Low,NO
61,51,76268,High School,Female,Self-employed,Married,0,Yes,Suburban,Low,Often,2,0,Occasionally,Newspaper,Yes,Medium,Low,NO
62,79,46653,Bachelor,Female,Employed,Married,2,Yes,Suburban,High,Often,0,8,Never,Internet,Yes,Low,Medium,YES
63,31,136829,PhD,Male,Retired,Divorced,3,Yes,Suburban,Medium,Often,7,4,Never,Social Media,No,Medium,Medium,YES
64,65,143377,High School,Other,Self-employed,Divorced,5,Yes,Suburban,Low,Always,5,8,Occasionally,TV,Yes,Low,Medium,YES
65,32,16622,Master,Other,Student,Widowed,5,No,Suburban,Medium,Always,1,9,Never,Social Media,Yes,High,High,YES
66,89,63756,PhD,Female,Student,Married,5,Yes,Suburban,High,Rarely,7,3,Never,Internet,Yes,High,Low,NO
67,79,55809,Master,Female,Self-employed,Married,1,Yes,Rural,High,Often,5,4,Regularly,Newspaper,Yes,Medium,Medium,YES
68,57,31725,Master,Male,Retired,Widowed,4,Yes,Urban,Low,Always,6,3,Occasionally,Internet,Yes,High,Low,NO
69,70,66226,High School,Other,Self-employed,Married,5,No,Suburban,High,Rarely,0,1,Regularly,Newspaper,Yes,High,Low,NO
70,41,96182,PhD,Male,Retired,Single,2,No,Urban,Medium,Rarely,6,0,Occasionally,Newspaper,Yes,Low,High,NO
71,43,44402,No Formal Education,Female,Unemployed,Married,5,Yes,Rural,Low,Rarely,2,7,Regularly,Newspaper,Yes,High,Low,YES
72,77,19263,High School,Other,Self-employed,Widowed,0,No,Suburban,Low,Rarely,7,3,Never,Social Media,Yes,Low,Medium,YES
73,58,62924,High School,Other,Retired,Single,1,No,Urban,Medium,Rarely,5,4,Occasionally,Internet,No,Low,Medium,YES
