User,Age,Time,Coffee,Images_Analyzed,Productivity
1,23,800,0,20,Good
1,23,1700,0,18,Good
2,65,900,1,15,Bad
3,34,1000,2,22,Good
4,28,1400,1,16,Bad
5,45,1100,0,19,Good
5,45,1500,1,17,Good
2,65,1300,2,14,Bad
3,34,1600,0,21,Good
4,28,900,1,15,Bad
6,29,1200,2,18,Good
7,50,1000,0,16,Bad
8,33,1400,1,20,Good
9,27,800,0,14,Bad
10,41,1600,2,19,Good
1,23,900,1,17,Good
2,65,1100,0,13,Bad
3,34,1300,2,21,Good
4,28,1500,1,15,Bad
5,45,1000,0,18,Good
6,29,1700,1,16,Bad
7,50,800,0,20,Good
8,33,1200,2,19,Good
9,27,1400,1,14,Bad
10,41,900,0,17,Good
1,23,1100,2,21,Good
2,65,1300,1,15,Bad
3,34,1500,0,18,Good
4,28,1000,2,16,Bad
5,45,1600,1,20,Good
6,29,800,0,14,Bad
7,50,1200,2,19,Good
8,33,1400,1,17,Good
9,27,900,0,15,Bad
10,41,1100,2,21,Good
1,23,1300,1,16,Bad
2,65,1500,0,18,Good
3,34,1000,2,20,Good
4,28,1700,1,14,Bad
5,45,800,0,19,Good
6,29,1200,2,17,Good
7,50,1400,1,15,Bad
8,33,900,0,21,Good
9,27,1100,2,16,Bad
10,41,1300,1,18,Good
1,23,1500,0,20,Good
2,65,1000,2,14,Bad
3,34,1600,1,19,Good
4,28,800,0,17,Good
5,45,1200,2,15,Bad
6,29,1400,1,21,Good
7,50,900,0,16,Bad
8,33,1100,2,18,Good
9,27,1300,1,20,Good
10,41,1500,0,14,Bad
1,23,1000,2,19,Good
2,65,1700,1,17,Good
3,34,800,0,15,Bad
4,28,1200,2,21,Good
5,45,1400,1,16,Bad
6,29,900,0,18,Good
7,50,1100,2,20,Good
8,33,1300,1,14,Bad
9,27,1500,0,19,Good
10,41,1000,2,17,Good
1,23,1600,1,15,Bad
2,65,800,0,21,Good
3,34,1200,2,16,Bad
4,28,1400,1,18,Good
5,45,900,0,20,Good
6,29,1100,2,14,Bad
7,50,1300,1,19,Good
8,33,1500,0,17,Good
9,27,1000,2,15,Bad
10,41,1700,1,21,Good
1,23,800,0,16,Bad
2,65,1200,2,18,Good
3,34,1400,1,20,Good
4,28,900,0,14,Bad
5,45,1100,2,19,Good
