,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1474.9080237694725,1478.0168030473048,1561.080787591126,1516.678358953224,1574.019774780186,75755174
2020-01-02,1590.1428612819832,1553.6659304727473,1357.7812378872336,1480.170283352728,1404.2538821700775,19728490
2020-01-03,1546.398788362281,1625.4746143855912,1328.1507262857158,1492.4011607288267,1574.9403345368398,85211891
2020-01-06,1519.7316968394073,1598.1537235508408,1250.3738895618885,1589.456667922363,1505.7874268054425,93521775
2020-01-07,1431.2037280884872,1589.4031481990537,1131.00652315801,1430.670280623216,1587.8135397025792,70289955
2020-01-08,1431.1989040672406,1590.4968167974218,1575.5973069402794,1517.2459664033595,1559.7566471547332,16102437
2020-01-09,1411.61672243364,1521.898230243951,1547.0955550215426,1501.1777357768933,1599.5868221066676,20706265
2020-01-10,1573.235229154987,1508.7183688528987,1649.844720307372,1522.2908470869295,1470.142363090342,11191989
2020-01-13,1520.2230023486418,1611.8722310957028,1648.1502603906479,1403.6220367641681,1553.4376577862254,63744057
2020-01-14,1541.6145155592092,1612.0226789358362,1405.4874380814451,1574.4247817888304,1480.3861827218484,52300318
2020-01-15,1404.1168988591605,1623.4144637160207,1522.9430783492808,1586.4236564967225,1495.9751240607818,79890594
2020-01-16,1593.9819704323988,1632.6481105112944,1619.6211514353354,1513.0266367178417,1525.501092643674,40919838
2020-01-17,1566.4885281600843,1552.2684797721877,1567.3060648725764,1539.3301647753785,1574.7354228372678,33383771
2020-01-20,1442.4678221356553,1550.30325893744,1236.0414559587587,1584.4998762354592,1596.816693839859,55245321
2020-01-21,1436.3649934414202,1609.659035793355,1347.7992744205515,1541.4477268626797,1553.6546827729037,4855469
2020-01-22,1436.6809019706868,1579.992786155553,1171.0376783333222,1430.5078085828522,1483.5533564334667,82262634
2020-01-23,1460.8484485919075,1590.3933754515406,1624.7280649922973,1515.2576720333627,1484.271400455414,26198641
2020-01-24,1504.9512863264476,1609.1585338872203,1433.3960489479841,1521.3430092765711,1547.5164603177782,14250540
2020-01-27,1486.3890037284232,1628.0010683635132,1225.7535430269045,1484.8261342604771,1447.7554291536605,45321400
2020-01-28,1458.2458280396083,1517.599031370307,1469.4353764232212,1547.2888471249446,1422.094822626279,94555026
2020-01-29,1522.370578944476,1525.1165905279888,1439.9705322518428,1586.873402953803,1470.9244315281553,2092825
2020-01-30,1427.8987721304084,1468.7963879681738,1296.9894949180623,1585.1137025813553,1457.4477983308163,71041842
2020-01-31,1458.4289297070436,1565.6560281992347,1162.456675709796,1490.1678742808265,1459.261624091198,30659798
2020-02-03,1473.2723686587383,1457.1884547593484,1469.3652575760398,1422.6476091681511,1446.721550209982,6252941
2020-02-04,1491.2139968434071,1543.119603626492,1386.1692354970864,1596.9682397924669,1408.4186379272724,36386070
2020-02-05,1557.0351922786026,1558.5289269415152,1524.7751154546017,1567.7796172891867,1403.5747869466827,10656086
2020-02-06,1439.934756431672,1507.308250425657,1386.0899256115963,1424.9325362406535,1597.5444779472064,53407679
2020-02-07,1502.8468876827224,1568.1666521138022,1568.699825175197,1584.1683765234745,1485.5546267471725,23389643
2020-02-10,1518.4829137724084,1456.1000499878098,1403.548761325967,1573.9792724124256,1476.8653294319363,89697893
2020-02-11,1409.2900825439995,1457.4696377498428,1408.5158843444624,1503.7676114252145,1535.929456538614,2040369
2020-02-12,1521.5089703802878,1614.5201121319317,1582.1594814620898,1518.255087148986,1443.6507775730129,41781557
2020-02-13,1434.1048247374583,1522.0381282822525,1321.9155764168183,1479.800540774026,1589.9922367900451,85203140
2020-02-14,1413.0103185970559,1475.412102530377,1173.7083756478523,1410.9523277644062,1557.2690028831105,48326615
2020-02-17,1589.7771074506666,1554.4486520109608,1115.8304719723365,1467.0394483291802,1417.882200462452,26055176
2020-02-18,1593.126406614912,1603.9987106197223,1515.3254906204904,1560.5706897196023,1483.5161551569856,81818171
2020-02-19,1561.6794696232923,1493.1642054993686,1441.1702532444056,1400.9264046009205,1575.8236615124329,51821929
2020-02-20,1460.922753834674,1574.5780951638,1487.243872454573,1466.6998343382288,1588.9464044582821,7878748
2020-02-21,1419.5344228012768,1467.0694929987535,1217.130288829901,1479.6337387181886,1493.4803022499739,41754364
2020-02-24,1536.8466053024313,1460.3363442337215,1175.0043115727233,1507.4791205875845,1522.6822778421415,52282965
2020-02-25,1488.0304987479203,1556.2709263136296,1107.999566117335,1583.971123282552,1433.406789218415,69155694
2020-02-26,1424.4076469689558,1558.1270243220213,1292.8231573436283,1469.2691988731922,1598.2337252273953,33097728
2020-02-27,1499.035382022254,1577.4859802996414,1424.454727770048,1469.3906403792455,1446.3343402766886,77166032
2020-02-28,1406.8777042230436,1595.2182667445322,1315.7342248048528,1547.5002496219497,1588.5463548270252,36259646
2020-03-02,1581.8640804157565,1645.170415892507,1340.611207113051,1490.4435881779614,1529.9293297984736,41578073
2020-03-03,1451.7559963200033,1553.260069660239,1597.2872819715617,1444.9209645879964,1521.5473589757719,10817207
2020-03-04,1532.5044568707963,1514.5912945882492,1291.5405068628152,1490.4879032265387,1502.5377022033017,82749491
2020-03-05,1462.342215217882,1609.0372389537408,1382.694219037896,1428.17140407596,1446.1339623435517,16269764
2020-03-06,1504.013604235562,1504.166450252415,1531.0091570076288,1435.2773973012447,1435.3056064011016,9484451
2020-03-09,1509.342055868656,1537.7942841411273,1318.0985302766985,1499.673554547896,1444.097241814035,71397755
2020-03-10,1436.9708911051055,1465.6912762684533,1442.1476851253306,1483.7850899009095,1437.2876524288508,76223517
2020-03-11,1593.9169255529118,1455.0701486830915,1574.30003981071,1582.96918021362,1555.9168947133508,81273011
2020-03-12,1555.026564672223,1642.529682935585,1622.2363430117032,1472.4787798233267,1470.025051833346,20908635
2020-03-13,1587.8997883128377,1617.1960241024412,1180.890414510971,1516.1176700556086,1411.5685353126792,38149943
2020-03-16,1578.96547008553,1589.1948412187396,1609.6231938388219,1526.452857583906,1593.8205260281622,51856593
2020-03-17,1519.579995762217,1531.790588882854,1370.663961193746,1402.6188913176668,1576.7571769926851,60211794
2020-03-18,1584.3748470046235,1484.6588640141692,1242.034413564427,1532.707474403342,1585.5504566390425,69572863
2020-03-19,1417.698500410384,1481.2874085342173,1352.5246659310437,1435.6071933739504,1598.981564529287,4890691
2020-03-20,1439.196572483829,1500.048579632919,1639.0179164070123,1592.214063493891,1434.7790498438974,28050196
2020-03-23,1409.0454577821076,1559.8453329412241,1370.9399516960782,1429.7325455506225,1479.2484037805318,88211969
2020-03-24,1465.0660661526529,1592.9191845400126,1280.8133856581294,1482.9248247454047,1551.6476951408183,77061279
