Date, Open, High, Low, Close
10/03/25, 6722.14, 6750.87, 6705.67, 6715.79
10/02/25, 6731.31, 6731.94, 6693.23, 6715.35
10/01/25, 6664.92, 6718.48, 6656.20, 6711.20
09/30/25, 6656.19, 6691.25, 6641.00, 6688.46
09/29/25, 6661.58, 6677.31, 6644.49, 6661.21
09/26/25, 6615.38, 6648.97, 6604.43, 6643.70
09/25/25, 6608.19, 6619.00, 6569.22, 6604.72
09/24/25, 6669.79, 6672.66, 6621.76, 6637.97
09/23/25, 6692.44, 6699.52, 6645.58, 6656.92
09/22/25, 6654.28, 6698.88, 6648.07, 6693.75
09/19/25, 6647.11, 6671.82, 6630.31, 6664.36
09/18/25, 6626.85, 6656.80, 6611.89, 6631.96
09/17/25, 6604.87, 6624.39, 6551.15, 6600.35
09/16/25, 6624.13, 6626.99, 6600.11, 6606.76
09/15/25, 6603.49, 6619.62, 6602.07, 6615.28
09/12/25, 6590.66, 6600.21, 6579.49, 6584.29
09/11/25, 6554.41, 6592.89, 6545.80, 6587.47
09/10/25, 6550.29, 6555.97, 6516.34, 6532.04
09/09/25, 6503.33, 6518.23, 6483.08, 6512.61
09/08/25, 6498.09, 6508.67, 6483.29, 6495.15
09/05/25, 6529.08, 6532.65, 6443.98, 6481.50
09/04/25, 6456.60, 6502.54, 6445.98, 6502.08
09/03/25, 6445.82, 6453.67, 6416.17, 6448.26
09/02/25, 6401.51, 6416.54, 6360.58, 6415.54
08/29/25, 6489.28, 6491.76, 6444.57, 6460.26
08/28/25, 6483.84, 6508.23, 6466.96, 6501.86
08/27/25, 6462.26, 6487.06, 6457.84, 6481.40
08/26/25, 6435.49, 6468.37, 6429.21, 6465.94
08/25/25, 6457.67, 6466.89, 6438.06, 6439.32
08/22/25, 6384.59, 6478.89, 6384.59, 6466.91
08/21/25, 6380.83, 6393.65, 6352.71, 6370.17
08/20/25, 6406.62, 6408.40, 6343.86, 6395.78
08/19/25, 6446.24, 6456.48, 6400.22, 6411.37
08/18/25, 6445.02, 6455.35, 6437.70, 6449.15
08/15/25, 6477.38, 6481.34, 6441.85, 6449.80
08/14/25, 6453.46, 6473.92, 6441.07, 6468.54
08/13/25, 6462.67, 6480.28, 6445.02, 6466.58
08/12/25, 6395.17, 6446.55, 6385.76, 6445.76
08/11/25, 6389.67, 6407.25, 6364.06, 6373.45
08/08/25, 6355.22, 6395.16, 6355.22, 6389.45
08/07/25, 6374.32, 6389.71, 6310.32, 6340.00
08/06/25, 6309.30, 6352.83, 6301.11, 6345.06
08/05/25, 6336.63, 6346.00, 6289.37, 6299.19
08/04/25, 6271.71, 6330.69, 6271.71, 6329.94
08/01/25, 6287.28, 6287.28, 6212.69, 6238.01
07/31/25, 6427.02, 6427.02, 6327.64, 6339.39
07/30/25, 6381.23, 6396.54, 6336.38, 6362.90
07/29/25, 6405.62, 6409.26, 6363.92, 6370.86
07/28/25, 6397.69, 6401.07, 6375.79, 6389.77
07/25/25, 6370.01, 6395.82, 6368.53, 6388.64
07/24/25, 6368.60, 6381.31, 6360.57, 6363.35
07/23/25, 6326.90, 6360.64, 6317.49, 6358.91
07/22/25, 6306.60, 6316.12, 6281.71, 6309.62
07/21/25, 6304.74, 6336.08, 6303.79, 6305.60
07/18/25, 6312.95, 6315.61, 6285.27, 6296.79
07/17/25, 6263.40, 6304.69, 6262.27, 6297.36
07/16/25, 6254.50, 6268.12, 6201.59, 6263.70
07/15/25, 6295.29, 6302.04, 6241.68, 6243.76
07/14/25, 6255.15, 6273.31, 6239.22, 6268.56
07/11/25, 6255.68, 6269.44, 6237.60, 6259.75
07/10/25, 6266.80, 6290.22, 6251.44, 6280.46
07/09/25, 6243.33, 6269.16, 6231.43, 6263.26
07/08/25, 6234.03, 6242.70, 6217.75, 6225.52
07/07/25, 6259.04, 6262.07, 6201.00, 6229.98
07/03/25, 6246.46, 6284.65, 6246.46, 6279.35
07/02/25, 6193.88, 6227.60, 6188.29, 6227.42
07/01/25, 6187.25, 6210.78, 6177.97, 6198.01
06/30/25, 6193.36, 6215.08, 6174.97, 6204.95
06/27/25, 6150.70, 6187.68, 6132.35, 6173.07
06/26/25, 6112.09, 6146.52, 6107.27, 6141.02
06/25/25, 6104.23, 6108.51, 6080.09, 6092.16
06/24/25, 6061.21, 6101.76, 6059.25, 6092.18
06/23/25, 5969.67, 6028.77, 5943.23, 6025.17
06/20/25, 5999.67, 6018.20, 5952.56, 5967.84
06/18/25, 5987.93, 6018.25, 5971.89, 5980.87
06/17/25, 6012.15, 6023.25, 5974.80, 5982.72
06/16/25, 6004.00, 6050.83, 6004.00, 6033.11
06/13/25, 6000.56, 6026.16, 5963.21, 5976.97
06/12/25, 6009.90, 6045.43, 6003.88, 6045.26
06/11/25, 6049.38, 6059.40, 6002.32, 6022.24
06/10/25, 6009.91, 6043.01, 6000.28, 6038.81
06/09/25, 6004.63, 6021.31, 5994.18, 6005.88
06/06/25, 5987.06, 6016.87, 5978.63, 6000.36
06/05/25, 5985.67, 5999.70, 5921.20, 5939.30
06/04/25, 5978.94, 5990.48, 5966.11, 5970.81
06/03/25, 5938.56, 5981.35, 5929.00, 5970.37
06/02/25, 5896.68, 5937.40, 5861.43, 5935.94
05/30/25, 5903.67, 5922.14, 5843.66, 5911.69
05/29/25, 5939.96, 5943.13, 5873.80, 5912.17
05/28/25, 5925.54, 5939.92, 5881.88, 5888.55
05/27/25, 5854.07, 5924.33, 5854.07, 5921.54
