,Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location,year,month,day
0,100000,4452,2023-01-01,Online,Walmart,Travel,4520.7,Debit Card,Approved,Jonesport,2023,1,1
3,100003,4545,2023-01-01,Online,BestBuy,Travel,2659.96,Debit Card,Approved,Hawkinston,2023,1,1
6,100006,1587,2023-01-01,Online,Netflix,Entertainment,2309.06,Debit Card,Approved,Scottport,2023,1,1
14,100014,1855,2023-01-01,Online,Walmart,Clothing,2365.67,Credit Card,Approved,Catherineland,2023,1,1
18,100018,4438,2023-01-01,Online,BestBuy,Dining,2930.38,UPI,Approved,Johnsonside,2023,1,1
22,100022,3057,2023-01-01,Online,BestBuy,Groceries,4094.49,PayPal,Approved,West Kenneth,2023,1,1
26,100026,4254,2023-01-02,Online,BestBuy,Travel,4054.78,Credit Card,Approved,Stevensmouth,2023,1,2
27,100027,1719,2023-01-02,Online,Walmart,Entertainment,4471.68,UPI,Pending,Riveramouth,2023,1,2
29,100029,4073,2023-01-02,Online,BestBuy,Clothing,2905.62,Credit Card,Approved,Annaland,2023,1,2
33,100033,3862,2023-01-02,Online,Uber,Electronics,1499.08,Credit Card,Approved,East Samanthaview,2023,1,2
34,100034,2424,2023-01-02,Online,Target,Groceries,4074.73,PayPal,Approved,North Marytown,2023,1,2
45,100045,2961,2023-01-02,Online,Target,Groceries,4156.79,UPI,Pending,Ashleyhaven,2023,1,2
47,100047,1161,2023-01-02,Online,Amazon,Groceries,3471.17,PayPal,Approved,Gutierrezhaven,2023,1,2
56,100056,4809,2023-01-03,Online,BestBuy,Groceries,1676.34,PayPal,Approved,East Anna,2023,1,3
61,100061,4328,2023-01-03,Online,Uber,Electronics,2805.62,UPI,Approved,Jonesland,2023,1,3
67,100067,3609,2023-01-03,Online,Netflix,Groceries,1698.42,Credit Card,Approved,Lisamouth,2023,1,3
70,100070,4784,2023-01-03,Online,Target,Electronics,3425.56,PayPal,Declined,New Teresafurt,2023,1,3
72,100072,3787,2023-01-04,Online,Walmart,Electronics,3755.97,Credit Card,Approved,Daniellefort,2023,1,4
76,100076,3238,2023-01-04,Online,Apple Store,Electronics,3999.07,PayPal,Approved,North Ryan,2023,1,4
79,100079,1391,2023-01-04,Online,Target,Entertainment,4634.83,UPI,Declined,Rogershaven,2023,1,4
84,100084,4833,2023-01-04,Online,Netflix,Groceries,2911.11,Debit Card,Approved,Lisamouth,2023,1,4
88,100088,3956,2023-01-04,Online,Netflix,Groceries,1209.29,Credit Card,Approved,East Wendy,2023,1,4
92,100092,3354,2023-01-04,Online,Apple Store,Entertainment,4643.83,Credit Card,Declined,Kellyland,2023,1,4
96,100096,4578,2023-01-05,Online,Apple Store,Entertainment,2988.07,Credit Card,Approved,Melissaville,2023,1,5
99,100099,4341,2023-01-05,Online,Target,Entertainment,2068.72,PayPal,Approved,Richardchester,2023,1,5
110,100110,1894,2023-01-05,Online,Apple Store,Travel,1284.68,Credit Card,Approved,West Tyler,2023,1,5
112,100112,4768,2023-01-05,Online,Walmart,Entertainment,1588.74,Debit Card,Approved,Hendersonfort,2023,1,5
113,100113,2701,2023-01-05,Online,Walmart,Electronics,4439.55,Credit Card,Approved,New Nicholashaven,2023,1,5
118,100118,1496,2023-01-05,Online,BestBuy,Travel,3538.75,PayPal,Approved,Brooksmouth,2023,1,5
119,100119,2180,2023-01-05,Online,Apple Store,Dining,1113.32,UPI,Pending,Jessicafort,2023,1,5
120,100120,4518,2023-01-06,Online,Netflix,Electronics,3529.09,Debit Card,Approved,West John,2023,1,6
121,100121,4513,2023-01-06,Online,Walmart,Dining,3722.03,Credit Card,Approved,South Scotthaven,2023,1,6
123,100123,3678,2023-01-06,Online,Target,Dining,3714.06,Credit Card,Approved,Lake Javierland,2023,1,6
125,100125,3113,2023-01-06,Online,Netflix,Entertainment,3603.82,UPI,Approved,West Jonathan,2023,1,6
127,100127,4696,2023-01-06,Online,BestBuy,Entertainment,1700.03,Debit Card,Pending,East Josephmouth,2023,1,6
133,100133,2484,2023-01-06,Online,Netflix,Entertainment,1672.8,Credit Card,Pending,Port Hollyfurt,2023,1,6
138,100138,1033,2023-01-06,Online,Amazon,Dining,4056.71,UPI,Approved,West Mark,2023,1,6
140,100140,1586,2023-01-06,Online,Amazon,Entertainment,1870.51,Credit Card,Approved,West Beverlyton,2023,1,6
142,100142,2765,2023-01-06,Online,BestBuy,Dining,2339.42,Debit Card,Approved,Lake Jessicachester,2023,1,6
154,100154,4505,2023-01-07,Online,Walmart,Travel,2249.34,UPI,Approved,South Kevinmouth,2023,1,7
155,100155,3351,2023-01-07,Online,Target,Electronics,3075.07,Debit Card,Approved,Lake Aaronside,2023,1,7
