,Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location,Age,Gender,Account_Status
0,363.0,1,2025-01-16,Online,Walmart,Electronics,305.91,Credit Card,Declined,Chicago,66,Male,Inactive
1,537.0,1,2025-01-23,ATM,Target,Groceries,935.81,Debit Card,Pending,New York,66,Male,Inactive
2,561.0,1,2025-01-24,POS,Walmart,Electronics,665.21,Debit Card,Approved,Los Angeles,66,Male,Inactive
3,625.0,1,2025-01-27,Online,Expedia,Groceries,693.55,Debit Card,Approved,Houston,66,Male,Inactive
4,700.0,1,2025-01-30,Online,Amazon,Dining,934.63,Debit Card,Approved,Houston,66,Male,Inactive
5,820.0,1,2025-02-04,POS,BestBuy,Electronics,271.83,Credit Card,Pending,Miami,66,Male,Inactive
6,848.0,1,2025-02-05,POS,Amazon,Dining,992.62,Debit Card,Declined,Chicago,66,Male,Inactive
7,954.0,1,2025-02-09,Online,Expedia,Travel,558.8,Credit Card,Pending,Seattle,66,Male,Inactive
8,49.0,2,2025-01-03,Online,eBay,Entertainment,394.08,Debit Card,Declined,Los Angeles,53,Female,Suspended
9,170.0,2,2025-01-08,POS,Walmart,Entertainment,81.59,Credit Card,Pending,Miami,53,Female,Suspended
10,216.0,2,2025-01-09,ATM,Costco,Groceries,99.44,Credit Card,Declined,Houston,53,Female,Suspended
11,1056.0,2,2025-02-13,ATM,eBay,Clothing,398.96,Debit Card,Approved,Chicago,53,Female,Suspended
12,738.0,3,2025-01-31,ATM,Costco,Health,269.6,Debit Card,Pending,Seattle,40,Female,Suspended
13,268.0,4,2025-01-12,POS,Expedia,Groceries,376.26,Credit Card,Pending,Seattle,49,Other,Inactive
14,408.0,4,2025-01-17,POS,Amazon,Clothing,581.42,Debit Card,Approved,Los Angeles,49,Other,Inactive
15,787.0,4,2025-02-02,ATM,Target,Travel,278.86,Debit Card,Approved,Los Angeles,49,Other,Inactive
16,801.0,4,2025-02-03,Online,Walmart,Dining,99.88,Debit Card,Approved,Houston,49,Other,Inactive
17,1090.0,4,2025-02-15,POS,eBay,Health,583.83,Debit Card,Pending,Houston,49,Other,Inactive
18,104.0,5,2025-01-05,POS,Costco,Clothing,207.46,Credit Card,Declined,Los Angeles,27,Other,Suspended
19,340.0,5,2025-01-15,POS,Target,Entertainment,151.54,Credit Card,Approved,San Francisco,27,Other,Suspended
20,512.0,5,2025-01-22,ATM,Target,Health,669.53,Debit Card,Declined,Miami,27,Other,Suspended
21,596.0,5,2025-01-25,POS,eBay,Electronics,330.16,Debit Card,Declined,San Francisco,27,Other,Suspended
22,696.0,5,2025-01-29,Online,eBay,Dining,732.83,Credit Card,Pending,San Francisco,27,Other,Suspended
23,858.0,5,2025-02-05,POS,eBay,Electronics,621.29,Debit Card,Approved,Chicago,27,Other,Suspended
24,900.0,5,2025-02-07,POS,Walmart,Groceries,64.64,Credit Card,Declined,Seattle,27,Other,Suspended
25,277.0,6,2025-01-12,ATM,Expedia,Entertainment,637.76,Credit Card,Declined,Chicago,28,Female,Active
26,613.0,6,2025-01-26,POS,Amazon,Dining,176.66,Credit Card,Declined,Chicago,28,Female,Active
27,776.0,6,2025-02-02,Online,Expedia,Groceries,395.93,Debit Card,Pending,Houston,28,Female,Active
28,798.0,6,2025-02-03,POS,eBay,Electronics,229.95,Debit Card,Approved,Seattle,28,Female,Active
29,504.0,7,2025-01-21,POS,BestBuy,Clothing,24.06,Credit Card,Declined,Chicago,55,Female,Active
30,737.0,7,2025-01-31,ATM,Expedia,Travel,784.38,Credit Card,Pending,Houston,55,Female,Active
31,1045.0,7,2025-02-13,POS,eBay,Health,703.23,Credit Card,Approved,Seattle,55,Female,Active
32,569.0,8,2025-01-24,Online,Target,Travel,275.28,Credit Card,Pending,Seattle,23,Male,Inactive
33,684.0,8,2025-01-29,POS,eBay,Travel,74.76,Debit Card,Declined,Miami,23,Male,Inactive
34,722.0,8,2025-01-31,POS,eBay,Travel,311.93,Debit Card,Declined,Miami,23,Male,Inactive
35,1024.0,8,2025-02-12,Online,Expedia,Groceries,61.74,Credit Card,Pending,Los Angeles,23,Male,Inactive
36,76.0,9,2025-01-04,POS,Walmart,Health,510.27,Debit Card,Declined,Miami,58,Female,Inactive
37,221.0,9,2025-01-10,ATM,Costco,Electronics,858.73,Credit Card,Declined,Seattle,58,Female,Inactive
38,500.0,9,2025-01-21,POS,BestBuy,Travel,567.95,Debit Card,Approved,New York,58,Female,Inactive
39,1082.0,9,2025-02-15,ATM,BestBuy,Health,66.14,Debit Card,Pending,Houston,58,Female,Inactive
40,398.0,10,2025-01-17,Online,eBay,Electronics,860.5,Credit Card,Declined,Miami,64,Female,Inactive
41,592.0,10,2025-01-25,Online,Amazon,Travel,568.77,Debit Card,Declined,San Francisco,64,Female,Inactive
42,829.0,10,2025-02-04,ATM,Target,Travel,643.3,Credit Card,Approved,Seattle,64,Female,Inactive
43,899.0,10,2025-02-07,POS,BestBuy,Travel,222.62,Debit Card,Declined,Seattle,64,Female,Inactive
44,925.0,11,2025-02-08,POS,Walmart,Clothing,566.1,Credit Card,Approved,Los Angeles,51,Other,Suspended
45,1058.0,11,2025-02-14,Online,Expedia,Travel,456.91,Debit Card,Pending,Seattle,51,Other,Suspended
46,1131.0,11,2025-02-17,Online,Target,Electronics,723.46,Credit Card,Pending,Houston,51,Other,Suspended
47,426.0,12,2025-01-18,Online,Costco,Dining,147.29,Debit Card,Pending,Los Angeles,53,Female,Suspended
48,565.0,12,2025-01-24,Online,Amazon,Dining,896.09,Credit Card,Approved,Seattle,53,Female,Suspended
49,703.0,12,2025-01-30,Online,Amazon,Health,631.67,Debit Card,Pending,Los Angeles,53,Female,Suspended
50,1170.0,12,2025-02-18,Online,BestBuy,Health,607.06,Credit Card,Declined,Los Angeles,53,Female,Suspended
51,1176.0,12,2025-02-18,ATM,BestBuy,Dining,606.34,Debit Card,Declined,Seattle,53,Female,Suspended
52,124.0,13,2025-01-06,POS,Costco,Dining,466.92,Credit Card,Pending,Chicago,54,Other,Active
53,313.0,13,2025-01-14,Online,BestBuy,Dining,200.67,Debit Card,Approved,Los Angeles,54,Other,Active
54,458.0,13,2025-01-20,ATM,Target,Travel,468.97,Debit Card,Declined,Houston,54,Other,Active
55,758.0,13,2025-02-01,Online,Costco,Entertainment,396.14,Debit Card,Approved,Miami,54,Other,Active
56,833.0,13,2025-02-04,Online,Walmart,Health,300.8,Credit Card,Approved,Seattle,54,Other,Active
57,39.0,14,2025-01-02,POS,eBay,Groceries,169.92,Credit Card,Pending,San Francisco,34,Female,Suspended
58,559.0,14,2025-01-24,POS,Amazon,Electronics,11.84,Debit Card,Approved,New York,34,Female,Suspended
59,730.0,14,2025-01-31,Online,Amazon,Electronics,398.18,Credit Card,Approved,New York,34,Female,Suspended
60,735.0,14,2025-01-31,POS,eBay,Groceries,947.02,Debit Card,Declined,Chicago,34,Female,Suspended
61,869.0,14,2025-02-06,ATM,Expedia,Dining,780.62,Credit Card,Declined,Los Angeles,34,Female,Suspended
62,1081.0,14,2025-02-15,POS,eBay,Groceries,649.99,Credit Card,Declined,Seattle,34,Female,Suspended
63,74.0,15,2025-01-04,ATM,Expedia,Health,896.2,Debit Card,Approved,Miami,57,Female,Active
64,109.0,15,2025-01-05,ATM,Walmart,Health,968.23,Debit Card,Approved,Chicago,57,Female,Active
65,745.0,15,2025-02-01,ATM,Amazon,Entertainment,938.84,Debit Card,Approved,Chicago,57,Female,Active
66,887.0,15,2025-02-06,POS,Costco,Dining,596.27,Credit Card,Pending,New York,57,Female,Active
67,908.0,15,2025-02-07,POS,BestBuy,Electronics,929.22,Credit Card,Approved,San Francisco,57,Female,Active
68,409.0,16,2025-01-18,ATM,Walmart,Health,492.18,Credit Card,Pending,San Francisco,57,Female,Suspended
69,1194.0,16,2025-02-19,Online,BestBuy,Clothing,508.17,Credit Card,Approved,Los Angeles,57,Female,Suspended
70,272.0,17,2025-01-12,ATM,eBay,Health,692.43,Debit Card,Declined,Miami,29,Male,Active
71,969.0,17,2025-02-10,POS,BestBuy,Travel,258.21,Debit Card,Approved,San Francisco,29,Male,Active
72,1103.0,17,2025-02-15,Online,eBay,Travel,348.75,Credit Card,Approved,Houston,29,Male,Active
73,1156.0,17,2025-02-18,Online,BestBuy,Dining,53.12,Credit Card,Pending,Seattle,29,Male,Active
74,1174.0,17,2025-02-18,ATM,Costco,Health,188.91,Credit Card,Approved,Seattle,29,Male,Active
75,292.0,18,2025-01-13,ATM,Amazon,Health,538.26,Debit Card,Pending,Chicago,38,Other,Inactive
76,1004.0,18,2025-02-11,Online,Amazon,Groceries,702.11,Debit Card,Approved,Seattle,38,Other,Inactive
77,467.0,19,2025-01-20,POS,Target,Health,828.42,Credit Card,Declined,Seattle,57,Male,Suspended
78,527.0,19,2025-01-22,Online,BestBuy,Dining,707.71,Debit Card,Approved,New York,57,Male,Suspended
79,1003.0,19,2025-02-11,POS,Expedia,Clothing,694.96,Credit Card,Approved,Chicago,57,Male,Suspended
80,316.0,20,2025-01-14,ATM,Costco,Health,803.63,Debit Card,Pending,Seattle,36,Female,Active
81,556.0,20,2025-01-24,ATM,Target,Entertainment,818.32,Debit Card,Approved,Seattle,36,Female,Active
82,816.0,20,2025-02-03,Online,Target,Entertainment,806.41,Debit Card,Pending,New York,36,Female,Active
