Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location,Year,Month,Day,Discounted_Amount,Amount_Category,Date,High_Risk,Age,Gender,Account_Status
1,103,2025-01-01,ATM,BestBuy,Dining,360.1,Credit Card,Pending,San Francisco,2025,1,1,360.1,Medium,2025-01-01,False,25,Female,Inactive
2,271,2025-01-01,Online,eBay,Travel,357.02,Credit Card,Declined,Chicago,2025,1,1,357.02,Medium,2025-01-01,False,24,Female,Suspended
3,107,2025-01-01,ATM,Amazon,Entertainment,829.41,Credit Card,Pending,Chicago,2025,1,1,787.9395,High,2025-01-01,False,58,Male,Suspended
4,72,2025-01-01,POS,Amazon,Groceries,790.35,Credit Card,Pending,Los Angeles,2025,1,1,750.8325,High,2025-01-01,False,41,Other,Suspended
5,189,2025-01-01,ATM,Amazon,Clothing,311.26,Credit Card,Declined,San Francisco,2025,1,1,311.26,Medium,2025-01-01,False,20,Other,Inactive
6,21,2025-01-01,ATM,Walmart,Dining,914.22,Credit Card,Declined,Los Angeles,2025,1,1,868.509,High,2025-01-01,False,20,Male,Suspended
7,103,2025-01-01,Online,Costco,Groceries,953.05,Debit Card,Pending,San Francisco,2025,1,1,905.3974999999999,High,2025-01-01,True,25,Female,Inactive
8,122,2025-01-01,POS,eBay,Groceries,330.11,Debit Card,Declined,Miami,2025,1,1,330.11,Medium,2025-01-01,False,21,Female,Active
9,215,2025-01-01,ATM,Costco,Groceries,357.65,Credit Card,Approved,Los Angeles,2025,1,1,357.65,Medium,2025-01-01,False,52,Female,Inactive
10,88,2025-01-01,POS,Walmart,Groceries,508.11,Debit Card,Declined,Los Angeles,2025,1,1,482.7045,High,2025-01-01,False,56,Male,Inactive
11,100,2025-01-01,ATM,Walmart,Travel,941.42,Debit Card,Declined,Los Angeles,2025,1,1,894.3489999999999,High,2025-01-01,False,36,Male,Inactive
12,152,2025-01-01,ATM,Expedia,Entertainment,876.94,Credit Card,Approved,Seattle,2025,1,1,833.093,High,2025-01-01,False,34,Other,Inactive
13,131,2025-01-01,POS,BestBuy,Health,107.06,Credit Card,Declined,Houston,2025,1,1,107.06,Medium,2025-01-01,False,50,Male,Suspended
14,150,2025-01-01,ATM,BestBuy,Travel,395.77,Debit Card,Declined,Los Angeles,2025,1,1,395.77,Medium,2025-01-01,False,48,Other,Active
15,258,2025-01-01,POS,Target,Travel,555.6,Credit Card,Pending,New York,2025,1,1,527.82,High,2025-01-01,False,23,Male,Inactive
16,294,2025-01-01,ATM,Walmart,Dining,505.62,Debit Card,Declined,New York,2025,1,1,480.339,High,2025-01-01,False,32,Male,Active
17,192,2025-01-01,Online,eBay,Dining,197.89,Credit Card,Declined,San Francisco,2025,1,1,197.89,Medium,2025-01-01,False,50,Male,Active
18,277,2025-01-01,POS,Expedia,Entertainment,859.52,Debit Card,Approved,Miami,2025,1,1,816.544,High,2025-01-01,False,30,Female,Suspended
19,161,2025-01-01,ATM,Expedia,Health,678.56,Debit Card,Pending,Houston,2025,1,1,644.632,High,2025-01-01,False,19,Other,Active
20,22,2025-01-01,ATM,Costco,Dining,838.72,Debit Card,Pending,Seattle,2025,1,1,796.784,High,2025-01-01,False,35,Other,Inactive
21,253,2025-01-01,Online,BestBuy,Entertainment,859.47,Debit Card,Pending,San Francisco,2025,1,1,816.4965,High,2025-01-01,True,25,Female,Active
22,236,2025-01-01,POS,Walmart,Entertainment,749.61,Credit Card,Declined,New York,2025,1,1,712.1295,High,2025-01-01,False,41,Other,Active
23,49,2025-01-01,ATM,Target,Electronics,442.01,Credit Card,Pending,Houston,2025,1,1,442.01,Medium,2025-01-01,False,42,Other,Suspended
24,59,2025-01-01,Online,Walmart,Health,612.49,Debit Card,Approved,Houston,2025,1,1,581.8655,High,2025-01-01,False,28,Female,Inactive
25,170,2025-01-02,ATM,Costco,Dining,164.56,Debit Card,Pending,Miami,2025,1,2,164.56,Medium,2025-01-02,False,54,Male,Suspended
26,188,2025-01-02,POS,Amazon,Health,675.28,Credit Card,Approved,Houston,2025,1,2,641.516,High,2025-01-02,False,41,Female,Inactive
27,271,2025-01-02,ATM,Walmart,Travel,183.36,Credit Card,Pending,Los Angeles,2025,1,2,183.36,Medium,2025-01-02,False,24,Female,Suspended
28,190,2025-01-02,ATM,Costco,Travel,695.48,Debit Card,Pending,Houston,2025,1,2,660.706,High,2025-01-02,False,42,Female,Inactive
29,175,2025-01-02,ATM,Amazon,Health,233.45,Debit Card,Approved,Miami,2025,1,2,233.45,Medium,2025-01-02,False,50,Male,Suspended
30,51,2025-01-02,ATM,Amazon,Electronics,121.96,Debit Card,Pending,San Francisco,2025,1,2,121.96,Medium,2025-01-02,False,59,Other,Inactive
31,55,2025-01-02,Online,Target,Electronics,169.46,Debit Card,Pending,Miami,2025,1,2,169.46,Medium,2025-01-02,False,24,Male,Active
32,244,2025-01-02,Online,eBay,Health,6.98,Debit Card,Pending,Seattle,2025,1,2,6.98,Low,2025-01-02,False,18,Other,Active
33,131,2025-01-02,POS,BestBuy,Dining,720.15,Credit Card,Declined,Miami,2025,1,2,684.1424999999999,High,2025-01-02,False,50,Male,Suspended
34,135,2025-01-02,Online,Walmart,Clothing,733.74,Debit Card,Approved,New York,2025,1,2,697.053,High,2025-01-02,False,35,Other,Active
35,21,2025-01-02,Online,Amazon,Electronics,517.36,Credit Card,Pending,Los Angeles,2025,1,2,491.49199999999996,High,2025-01-02,False,20,Male,Suspended
36,167,2025-01-02,POS,Walmart,Groceries,165.56,Credit Card,Approved,New York,2025,1,2,165.56,Medium,2025-01-02,False,69,Female,Inactive
37,274,2025-01-02,Online,eBay,Travel,88.14,Credit Card,Approved,San Francisco,2025,1,2,88.14,Low,2025-01-02,False,69,Female,Active
38,89,2025-01-02,Online,BestBuy,Health,24.03,Debit Card,Approved,Chicago,2025,1,2,24.03,Low,2025-01-02,False,21,Male,Active
39,14,2025-01-02,POS,eBay,Groceries,169.92,Credit Card,Pending,San Francisco,2025,1,2,169.92,Medium,2025-01-02,False,34,Female,Suspended
40,242,2025-01-02,POS,BestBuy,Health,891.4,Credit Card,Pending,Los Angeles,2025,1,2,846.8299999999999,High,2025-01-02,False,54,Male,Suspended
41,265,2025-01-02,POS,Expedia,Entertainment,245.33,Credit Card,Approved,Houston,2025,1,2,245.33,Medium,2025-01-02,False,55,Other,Suspended
42,53,2025-01-02,ATM,BestBuy,Travel,357.5,Credit Card,Declined,Miami,2025,1,2,357.5,Medium,2025-01-02,False,46,Male,Inactive
43,92,2025-01-02,ATM,Target,Travel,109.82,Debit Card,Approved,Chicago,2025,1,2,109.82,Medium,2025-01-02,False,19,Male,Suspended
44,264,2025-01-02,POS,eBay,Electronics,226.25,Debit Card,Declined,Los Angeles,2025,1,2,226.25,Medium,2025-01-02,False,29,Female,Active
45,35,2025-01-02,POS,Amazon,Electronics,521.63,Credit Card,Approved,New York,2025,1,2,495.5485,High,2025-01-02,False,66,Female,Suspended
46,206,2025-01-02,POS,Expedia,Groceries,609.71,Credit Card,Approved,Miami,2025,1,2,579.2245,High,2025-01-02,False,30,Female,Inactive
47,81,2025-01-02,ATM,Target,Entertainment,249.13,Debit Card,Approved,San Francisco,2025,1,2,249.13,Medium,2025-01-02,False,30,Other,Active
48,50,2025-01-02,ATM,Walmart,Health,62.44,Debit Card,Pending,New York,2025,1,2,62.44,Low,2025-01-02,False,24,Other,Active
49,2,2025-01-03,Online,eBay,Entertainment,394.08,Debit Card,Declined,Los Angeles,2025,1,3,394.08,Medium,2025-01-03,False,53,Female,Suspended
50,54,2025-01-03,Online,Costco,Travel,238.03,Credit Card,Declined,Los Angeles,2025,1,3,238.03,Medium,2025-01-03,False,47,Male,Inactive
51,106,2025-01-03,POS,Costco,Groceries,223.46,Debit Card,Approved,San Francisco,2025,1,3,223.46,Medium,2025-01-03,False,19,Male,Active
52,260,2025-01-03,ATM,Amazon,Clothing,960.06,Credit Card,Pending,Chicago,2025,1,3,912.0569999999999,High,2025-01-03,False,59,Male,Suspended
53,191,2025-01-03,ATM,BestBuy,Groceries,618.22,Credit Card,Pending,San Francisco,2025,1,3,587.309,High,2025-01-03,False,36,Female,Inactive
54,218,2025-01-03,ATM,Amazon,Dining,559.09,Debit Card,Declined,Houston,2025,1,3,531.1355,High,2025-01-03,False,29,Male,Suspended
55,44,2025-01-03,POS,Costco,Groceries,418.7,Credit Card,Pending,New York,2025,1,3,418.7,Medium,2025-01-03,False,53,Female,Active
56,162,2025-01-03,Online,Walmart,Entertainment,431.8,Debit Card,Declined,Chicago,2025,1,3,431.8,Medium,2025-01-03,False,39,Male,Inactive
57,202,2025-01-03,POS,Expedia,Dining,543.2,Credit Card,Declined,Miami,2025,1,3,516.04,High,2025-01-03,False,30,Male,Inactive
58,270,2025-01-03,Online,Expedia,Dining,697.95,Debit Card,Declined,Seattle,2025,1,3,663.0525,High,2025-01-03,False,56,Female,Inactive
59,271,2025-01-03,Online,eBay,Dining,703.64,Credit Card,Pending,Houston,2025,1,3,668.458,High,2025-01-03,False,24,Female,Suspended
60,215,2025-01-03,POS,Expedia,Clothing,175.84,Credit Card,Declined,Chicago,2025,1,3,175.84,Medium,2025-01-03,False,52,Female,Inactive
61,252,2025-01-03,Online,eBay,Groceries,502.61,Debit Card,Declined,Seattle,2025,1,3,477.4795,High,2025-01-03,False,43,Male,Suspended
62,190,2025-01-03,Online,eBay,Entertainment,414.9,Debit Card,Approved,Seattle,2025,1,3,414.9,Medium,2025-01-03,False,42,Female,Inactive
63,296,2025-01-03,ATM,eBay,Groceries,871.17,Debit Card,Declined,New York,2025,1,3,827.6115,High,2025-01-03,False,69,Female,Suspended
