Date, Open, High, Low, Close
02/09/26, 50047.79, 50219.40, 49837.45, 50135.87
02/06/26, 49032.19, 50169.65, 49032.19, 50115.67
02/05/26, 49313.04, 49340.90, 48829.10, 48908.72
02/04/26, 49323.59, 49649.86, 49112.43, 49501.30
02/03/26, 49358.59, 49653.13, 48832.78, 49240.99
02/02/26, 48777.77, 49484.95, 48673.58, 49407.66
01/30/26, 48991.62, 49047.68, 48459.88, 48892.47
01/29/26, 48938.27, 49292.81, 48597.22, 49071.56
01/28/26, 49024.68, 49150.34, 48901.49, 49015.60
01/27/26, 49103.58, 49157.80, 48862.52, 49003.41
01/26/26, 49137.65, 49488.81, 49137.65, 49412.40
01/23/26, 49264.54, 49265.46, 48963.05, 49098.71
01/22/26, 49201.81, 49607.29, 49201.81, 49384.01
01/21/26, 48546.03, 49295.03, 48546.03, 49077.23
01/20/26, 49005.01, 49005.01, 48428.13, 48488.59
01/16/26, 49466.70, 49616.70, 49246.24, 49359.33
01/15/26, 49201.10, 49581.18, 49201.10, 49442.44
01/14/26, 49088.25, 49195.10, 48851.98, 49149.63
01/13/26, 49616.95, 49616.95, 49056.31, 49191.99
01/12/26, 49499.67, 49633.35, 49011.31, 49590.20
01/09/26, 49234.81, 49571.41, 49197.06, 49504.07
01/08/26, 48850.17, 49357.74, 48792.34, 49266.11
01/07/26, 49512.72, 49621.43, 48951.99, 48996.08
01/06/26, 48987.36, 49509.92, 48923.83, 49462.08
01/05/26, 48475.81, 49209.95, 48449.62, 48977.18
01/02/26, 48105.98, 48404.06, 47853.04, 48382.39
12/31/25, 48371.52, 48394.51, 48050.88, 48063.29
12/30/25, 48434.88, 48471.70, 48297.26, 48367.06
12/29/25, 48636.63, 48704.83, 48390.91, 48461.93
12/26/25, 48712.47, 48782.00, 48589.07, 48710.97
12/24/25, 48424.71, 48771.32, 48386.59, 48731.16
12/23/25, 48320.59, 48527.50, 48254.31, 48442.41
12/22/25, 48211.88, 48457.47, 48199.13, 48362.68
12/19/25, 47974.82, 48289.63, 47974.82, 48134.89
12/18/25, 48101.18, 48365.93, 47849.48, 47951.85
12/17/25, 48128.05, 48387.33, 47856.79, 47885.97
12/16/25, 48380.17, 48452.17, 47946.25, 48114.26
12/15/25, 48594.36, 48679.14, 48283.27, 48416.56
12/12/25, 48714.75, 48886.86, 48334.10, 48458.05
12/11/25, 48082.90, 48756.34, 48082.90, 48704.01
12/10/25, 47573.96, 48197.30, 47462.94, 48057.75
12/09/25, 47724.52, 47957.79, 47533.60, 47560.29
12/08/25, 47971.51, 47971.51, 47611.93, 47739.32
12/05/25, 47879.60, 48133.54, 47871.51, 47954.99
12/04/25, 47888.16, 48049.72, 47692.96, 47850.94
12/03/25, 47371.62, 47969.64, 47371.62, 47882.90
12/02/25, 47416.91, 47597.11, 47263.92, 47474.46
12/01/25, 47580.85, 47676.03, 47271.11, 47289.33
11/28/25, 47482.25, 47750.77, 47475.61, 47716.42
11/26/25, 47196.15, 47571.40, 47196.15, 47427.12
11/25/25, 46482.36, 47182.90, 46341.35, 47112.45
11/24/25, 46351.93, 46587.71, 46108.01, 46448.27
11/21/25, 45808.65, 46577.50, 45781.58, 46245.41
11/20/25, 46567.51, 46856.75, 45728.93, 45752.26
