Age,Salary,Buy
56,26003,0
46,36732,0
32,78139,1
25,40826,0
38,45354,1
56,28843,0
36,59472,1
40,63529,1
28,21190,0
28,32640,0
41,67528,1
53,53413,1
57,77606,1
41,67638,1
20,67736,0
39,57356,1
19,59597,0
41,55821,1
47,18330,0
55,34087,0
19,56430,0
38,39504,0
50,22114,0
29,28323,0
39,49121,1
42,25975,0
44,26023,0
59,36447,0
45,39933,0
33,75363,1
32,38959,0
20,15667,0
54,68620,1
24,44703,0
38,24337,0
26,61427,0
56,70971,1
35,76529,1
21,51487,0
42,34129,0
31,55251,1
26,46921,0
43,48307,1
19,42355,0
37,52732,1
45,76480,1
24,19835,0
25,35159,0
52,53810,1
31,62605,1
34,71254,1
53,55080,1
57,53088,1
21,28216,0
19,70284,0
23,72043,0
59,74852,1
21,50547,0
46,46471,1
35,32308,0
43,42532,1
51,49349,1
27,71866,0
53,67476,1
31,60445,1
48,20713,0
32,71178,1
25,64407,0
31,19804,0
40,65990,1
57,25136,0
38,78937,1
33,15009,0
35,34255,0
41,73141,1
43,38793,0
42,71570,1
58,44548,1
46,52892,1
32,79630,1
18,16015,0
42,74168,1
24,76813,0
26,42712,0
41,49961,1
18,23415,0
25,61318,0
41,62280,1
28,78242,0
34,77292,1
25,38833,0
52,19158,0
52,77680,1
50,35309,0
22,21970,0
59,21938,0
56,36168,0
58,61540,1
45,35384,0
24,33017,0
26,25344,0
25,55034,0
29,23702,0
51,15384,0
50,15404,0
40,55943,1
41,62926,1
54,44189,1
52,27763,0
57,33384,0
39,75100,1
44,47606,1
52,24860,0
18,53757,0
52,30106,0
54,65612,1
31,38574,0
20,38524,0
18,18636,0
22,25916,0
43,19809,0
31,47201,1
56,68330,1
44,28456,0
26,63212,0
32,71397,1
32,70752,1
43,53765,1
59,49816,1
30,60106,0
49,68932,1
56,32100,0
49,72091,1
21,36949,0
47,19544,0
54,52744,1
40,60543,1
56,57783,1
32,41657,1
46,51187,1
53,62198,1
30,22239,0
49,73918,1
24,29489,0
39,64401,1
45,73017,1
19,76877,0
59,58125,1
23,64922,0
45,43538,1
45,47049,1
37,52131,1
47,57944,1
28,65229,0
45,23427,0
42,56348,1
56,75381,1
50,39285,0
18,52626,0
44,57808,1
30,37928,0
58,68871,1
20,34198,0
56,34758,0
23,30254,0
25,59238,0
44,16252,0
26,54764,0
54,27173,0
50,52441,1
59,41698,1
41,68682,1
32,74494,1
49,30781,0
49,28051,0
41,54649,1
58,21949,0
29,57289,0
56,70393,1
19,23017,0
20,21941,0
54,40934,1
34,38386,0
19,74826,0
19,76886,0
45,25209,0
40,32715,0
54,43920,1
49,68413,1
50,71800,1
18,46703,0
36,57318,1
19,69267,0
43,19637,0
49,19854,0
23,67329,0
49,71882,1
21,58088,0
28,66332,0
34,52660,1
55,54811,1
41,64289,1
22,70479,0
51,34856,0
23,36833,0
39,66984,1
28,34963,0
33,70123,1
50,75375,1
26,51932,0
23,42169,0
33,22941,0
46,29388,0
20,20569,0
37,19300,0
53,54037,1
36,51586,1
43,76482,1
20,27015,0
36,60002,1
37,66058,1
49,21254,0
24,32144,0
58,39214,0
50,55118,1
57,30183,0
56,21238,0
35,21090,0
57,26637,0
18,37415,0
28,39071,0
45,73243,1
42,60415,1
40,75291,1
48,57679,1
47,56240,1
59,75610,1
52,33271,0
24,51034,0
33,48434,1
43,19188,0
19,64823,0
18,25161,0
29,43732,0
22,70929,0
54,26314,0
49,38954,0
26,72108,0
58,36508,0
52,36969,0
36,60659,1
33,52545,1
20,51668,0
37,38061,0
41,28716,0
50,54749,1
41,79132,1
28,54144,0
25,31907,0
53,33777,0
55,42693,1
57,66745,1
37,57928,1
52,77541,1
42,41329,1
52,61892,1
42,31282,0
46,38624,0
35,38321,0
35,25488,0
19,37574,0
52,20240,0
33,58221,1
58,25478,0
53,77519,1
50,70645,1
21,60162,0
50,34262,0
31,68295,1
38,67796,1
37,19432,0
25,44721,0
24,79291,0
20,28568,0
34,74399,1
50,77064,1
29,29178,0
39,65428,1
39,37195,0
47,75110,1
55,15302,0
55,32022,0
25,15055,0
44,60781,1
44,23717,0
51,76913,1
38,43699,1
47,23150,0
50,17125,0
45,59247,1
50,63513,1
22,31748,0
36,54577,1
21,19621,0
52,30034,0
34,61391,1
45,77322,1
47,20126,0
46,20122,0
23,33030,0
52,32302,0
58,34181,0
54,70658,1
41,53638,1
46,16531,0
48,55940,1
52,67497,1
50,55441,1
38,38333,0
49,54650,1
40,49674,1
50,50854,1
20,61271,0
35,23152,0
42,53518,1
59,60540,1
48,25267,0
20,40289,0
57,16062,0
41,66128,1
49,65448,1
39,44926,1
40,21229,0
19,71793,0
44,64277,1
59,62915,1
19,19632,0
43,54056,1
34,18596,0
57,59243,1
50,21168,0
26,57563,0
56,22561,0
46,23258,0
59,31616,0
43,74500,1
52,73513,1
42,41734,1
41,21371,0
30,68358,0
24,41069,0
53,29369,0
37,27910,0
18,22943,0
25,27199,0
33,30728,0
31,38275,0
29,21738,0
40,30913,0
32,50240,1
45,75004,1
51,77981,1
19,34123,0
49,69553,1
40,63447,1
39,49529,1
42,75858,1
39,25167,0
39,25554,0
59,32260,0
23,62045,0
32,18812,0
54,43024,1
50,73656,1
25,65612,0
22,42285,0
56,41900,1
21,65885,0
23,16605,0
49,20622,0
47,21767,0
52,42139,1
57,26613,0
33,71138,1
30,67669,0
59,25589,0
47,28918,0
36,35119,0
34,42446,1
36,73504,1
45,28046,0
43,79386,1
54,39818,0
43,50358,1
40,65215,1
26,19324,0
29,25787,0
18,24111,0
18,53110,0
51,31389,0
49,71641,1
42,56427,1
57,29043,0
18,43746,0
33,72347,1
56,37350,0
22,56605,0
39,15117,0
46,75272,1
20,61685,0
29,33935,0
43,62077,1
33,28234,0
54,79061,1
39,53328,1
46,68441,1
31,15846,0
45,25954,0
22,28703,0
47,63153,1
22,61514,0
29,37700,0
33,47043,1
43,78108,1
43,21469,0
38,45105,1
56,57101,1
53,79323,1
50,41386,1
47,73067,1
54,64376,1
40,60587,1
27,51976,0
22,54051,0
53,76998,1
51,17048,0
48,54001,1
27,27941,0
36,60375,1
49,57533,1
18,16828,0
22,16917,0
21,35618,0
33,47254,1
41,54756,1
33,66178,1
19,62362,0
45,35128,0
49,73245,1
44,60745,1
37,74383,1
41,15009,0
29,31644,0
52,37422,0
50,24865,0
50,17219,0
54,54809,1
29,66212,0
20,20287,0
18,76057,0
50,49387,1
57,23512,0
27,16342,0
46,78076,1
30,58336,0
29,34216,0
48,66976,1
19,66146,0
52,42534,1
40,29231,0
34,47293,1
43,41614,1
25,51258,0
46,43253,1
43,57078,1
27,55752,0
43,32988,0
51,46037,1
58,27219,0
24,15235,0
21,57929,0
28,76773,0
46,16908,0
53,23567,0
42,51298,1
38,20256,0
53,34019,0
27,23162,0
54,73914,1
26,66712,0
41,20415,0
52,51159,1
52,58925,1
53,75987,1
35,20951,0
56,36852,0
49,23007,0
41,76194,1
40,56832,1
49,73596,1
54,70565,1
29,45523,0
30,38325,0
40,73658,1
42,36204,0
52,30524,0
