Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location
100000,4452,01/01/2023,Online,Walmart,Travel,4520.7,Debit Card,Approved,Jonesport
100001,2775,01/01/2023,ATM,BestBuy,Travel,1437.85,Debit Card,Approved,Port Jennifer
100002,2259,01/01/2023,Mobile Payment,Uber,Clothing,3320.52,PayPal,Approved,Port James
100003,4545,01/01/2023,Online,BestBuy,Travel,2659.96,Debit Card,Approved,Hawkinston
100004,2137,01/01/2023,ATM,Amazon,Travel,2517.07,Debit Card,Approved,Matthewland
100005,4096,01/01/2023,ATM,Uber,Groceries,2032.91,,Approved,West Patriciamouth
100006,1587,01/01/2023,Online,Netflix,Entertainment,2309.06,Debit Card,Approved,Scottport
100007,2103,01/01/2023,ATM,Uber,Dining,334.82,PayPal,Pending,Shawview
100008,3553,01/01/2023,POS,Amazon,Dining,374.29,PayPal,Approved,Port Lindsay
100009,4821,01/01/2023,Mobile Payment,Netflix,Electronics,1117.12,UPI,Approved,Lake Steveport
100010,3887,01/01/2023,Mobile Payment,Target,Entertainment,1908.74,,Approved,Ginachester
100011,4816,01/01/2023,Mobile Payment,Netflix,Groceries,4530.51,PayPal,Approved,Petersonbury
100012,3914,01/01/2023,Mobile Payment,Netflix,Dining,3059.09,PayPal,Approved,South Rhonda
100013,4276,01/01/2023,ATM,Target,Electronics,2105.42,Credit Card,Approved,Sosamouth
100014,1855,01/01/2023,Online,Walmart,Clothing,2365.67,Credit Card,Approved,Catherineland
100015,1903,01/01/2023,ATM,Uber,Clothing,3093.14,PayPal,Approved,North Jessicahaven
100016,4015,01/01/2023,ATM,Netflix,Groceries,2330.34,UPI,Approved,South Alicia
100017,3753,01/01/2023,Mobile Payment,Target,Electronics,2395.64,,Approved,Marshshire
100018,4438,01/01/2023,Online,BestBuy,Dining,,UPI,Approved,Johnsonside
100019,1139,01/01/2023,POS,Target,Dining,971.57,Debit Card,Approved,Brandonmouth
100020,1337,01/01/2023,POS,Uber,Dining,4684.13,PayPal,Approved,Nicholsonside
100021,2569,01/01/2023,ATM,Target,Clothing,2080.94,PayPal,Approved,Dustinmouth
100022,3057,01/01/2023,Online,BestBuy,Groceries,4094.49,PayPal,Approved,West Kenneth
100023,1086,01/01/2023,ATM,Target,Dining,580.76,Credit Card,Approved,West William
100024,2551,02/01/2023,ATM,Uber,Groceries,4013.36,Debit Card,Approved,Timothyville
100025,1942,02/01/2023,Mobile Payment,Walmart,Electronics,3385.38,Debit Card,Approved,Spencermouth
100026,4254,02/01/2023,Online,BestBuy,Travel,4054.78,Credit Card,Approved,Stevensmouth
100027,1719,02/01/2023,Online,Walmart,Entertainment,,UPI,Pending,Riveramouth
100028,3374,02/01/2023,Mobile Payment,Walmart,Groceries,1411.35,UPI,Approved,Ryanbury
100029,4073,02/01/2023,Online,BestBuy,Clothing,2905.62,Credit Card,Approved,Annaland
100030,1431,02/01/2023,ATM,Uber,Dining,2609.42,Debit Card,Approved,Kellymouth
100031,1466,02/01/2023,POS,Target,Entertainment,41.99,PayPal,Approved,North Joshuaburgh
100032,4184,02/01/2023,Mobile Payment,Uber,Groceries,1810.88,Credit Card,Approved,Lake Morganside
100033,3862,02/01/2023,Online,Uber,Electronics,1499.08,Credit Card,Approved,East Samanthaview
100034,2424,02/01/2023,Online,Target,Groceries,4074.73,PayPal,Approved,North Marytown
100035,2851,02/01/2023,Online,Apple Store,Travel,171.99,Credit Card,Pending,Port Katherine
100036,1107,02/01/2023,ATM,Target,Travel,4852.43,Debit Card,Declined,North Mckenzieburgh
100037,2839,02/01/2023,ATM,BestBuy,Entertainment,1236.68,Credit Card,Approved,Juliebury
100038,4786,02/01/2023,ATM,Apple Store,Groceries,4131.19,Debit Card,Approved,Port Eric
100039,2038,02/01/2023,ATM,Amazon,Entertainment,4751.63,Credit Card,Approved,Stevensonland
100040,1782,02/01/2023,Online,Netflix,Entertainment,,Debit Card,Declined,New Kathrynstad
100041,1619,02/01/2023,ATM,Amazon,Electronics,4406.84,Debit Card,Approved,Williamsland
100042,1455,02/01/2023,ATM,BestBuy,Travel,4213.55,PayPal,Approved,Allisonborough
100043,2782,02/01/2023,POS,Uber,Clothing,4156.06,PayPal,Declined,East Patrickborough
100044,4989,02/01/2023,ATM,Walmart,Electronics,,PayPal,Approved,Raymondhaven
100045,2961,02/01/2023,Online,Target,Groceries,4156.79,UPI,Pending,Ashleyhaven
100046,3227,02/01/2023,Mobile Payment,Apple Store,Travel,2989.81,Debit Card,Approved,East Tonychester
100047,1161,02/01/2023,Online,Amazon,Groceries,3471.17,PayPal,Approved,Gutierrezhaven
100048,3722,03/01/2023,ATM,BestBuy,Groceries,3987.73,Debit Card,Approved,East Jack
100049,2533,03/01/2023,ATM,Netflix,Clothing,4925.38,UPI,Approved,West Michael
100050,3364,03/01/2023,Mobile Payment,Amazon,Electronics,501.03,Debit Card,Approved,New Jenniferchester
100051,4451,03/01/2023,Mobile Payment,Uber,Groceries,3200.15,UPI,Approved,Martinfort
100052,3509,03/01/2023,Mobile Payment,Walmart,Travel,3402.84,PayPal,Approved,Jeffreyside
100053,3805,03/01/2023,Mobile Payment,BestBuy,Entertainment,1951.39,Debit Card,Declined,Port Robertburgh
100054,4422,03/01/2023,ATM,Netflix,Groceries,2242.64,UPI,Approved,Lake Ryanton
100055,4468,03/01/2023,POS,Amazon,Clothing,1271.28,PayPal,Approved,Scottside
100056,4809,03/01/2023,Online,BestBuy,Groceries,1676.34,PayPal,Approved,East Anna
100057,1328,03/01/2023,ATM,Walmart,Electronics,1643.81,PayPal,Approved,Patriciaborough
100058,1098,03/01/2023,POS,Walmart,Clothing,,PayPal,Approved,South Tabitha
100059,1034,03/01/2023,Mobile Payment,Amazon,Entertainment,1093.3,PayPal,Approved,North William
100060,2656,03/01/2023,Mobile Payment,Target,Clothing,2273.57,UPI,Approved,East Timothy
100061,4328,03/01/2023,Online,Uber,Electronics,2805.62,UPI,Approved,Jonesland
100062,2777,03/01/2023,Mobile Payment,Uber,Clothing,3782.64,Debit Card,Approved,Aaronmouth
100063,2814,03/01/2023,POS,Target,Clothing,2031.65,PayPal,Approved,North Daniel
100064,3197,03/01/2023,Mobile Payment,Uber,Entertainment,2604.07,PayPal,Approved,Briannaberg
