Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 Administration,M,175873,,,M2
ABS,Alcohol Beverage Services,ABS 85 Administration,M,145613.36,,,M3
ABS,Alcohol Beverage Services,ABS 85 Administration,F,13697,,,M3
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,89432.694,,249,21
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,78947,456.68,6257.7,16
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,98228,518.8,998.28,21
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,8245.3864,549.2,,18
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,93986,1187.6,2452.94,N2
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,149464.15,,921.82,18
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,117424,,,N25
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,8288.28,1187.82,,21
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,65961.8438,292.7,,13
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,59288.86,113.1,,13
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,13947.15,,,M3
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,128531,,,N27
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,152632.7,,,M3
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,73955.2951,359.43,,16
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,117424,,,N25
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,117424,,,N25
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,11572.155,,,N26
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,6124,5294.68,995.18,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,6124,92.35,4827.4,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,8613,23917.44,3665.64,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,6124,958.78,459.3,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,8613,3165.46,3665.65,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,7586.4937,6857.37,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,81931.2453,24672.86,,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621,265.26,3471.32,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621.2,4453.91,3572.85,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621,1989.68,3436.83,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621,655.89,1228.89,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,5947.2324,7762.45,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621,11987.31,1228.88,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,6124,737.7,291.16,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,72361.418,885.91,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68944.3944,4539.49,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621,1662.14,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,59288.8374,1654.62,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,4496.352,3194.1,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,56492.9983,689.42,,1
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,65434.165,233.2,,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,53998.3375,13.6,,1
