Date, Open, High, Low, Close
09/05/23, 34843.22, 34871.26, 34635.63, 34641.97
09/01/23, 34876.24, 34979.18, 34720.70, 34837.71
08/31/23, 34909.09, 35070.21, 34719.77, 34721.91
08/30/23, 34847.80, 35025.57, 34811.74, 34890.24
08/29/23, 34531.12, 34864.42, 34531.12, 34852.67
08/28/23, 34441.64, 34652.91, 34441.64, 34559.98
08/25/23, 34217.06, 34441.91, 34029.22, 34346.90
08/24/23, 34439.83, 34694.68, 34093.65, 34099.42
08/23/23, 34338.59, 34534.72, 34321.00, 34472.98
08/22/23, 34494.17, 34514.04, 34256.84, 34288.83
08/21/23, 34531.28, 34570.96, 34248.46, 34463.69
08/18/23, 34368.36, 34587.07, 34263.19, 34500.66
08/17/23, 34829.61, 34888.48, 34440.73, 34474.83
08/16/23, 34914.96, 35133.56, 34757.37, 34765.74
08/15/23, 35219.37, 35219.37, 34908.50, 34946.39
08/14/23, 35273.89, 35335.45, 35169.97, 35307.63
08/11/23, 35111.36, 35354.60, 35059.99, 35281.40
08/10/23, 35231.54, 35578.58, 35107.60, 35176.15
08/09/23, 35324.28, 35370.89, 35058.73, 35123.36
08/08/23, 35345.40, 35346.64, 35007.41, 35314.49
08/07/23, 35125.60, 35497.38, 35125.60, 35473.13
08/04/23, 35230.13, 35506.88, 35033.76, 35065.62
08/03/23, 35194.56, 35348.20, 35122.32, 35215.89
08/02/23, 35551.92, 35551.92, 35226.26, 35282.52
08/01/23, 35585.99, 35679.13, 35526.61, 35630.68
07/31/23, 35465.97, 35566.95, 35430.22, 35559.53
07/28/23, 35443.49, 35565.51, 35355.15, 35459.29
07/27/23, 35558.79, 35645.35, 35216.58, 35282.72
07/26/23, 35345.99, 35633.61, 35306.27, 35520.12
07/25/23, 35421.49, 35527.57, 35365.26, 35438.07
07/24/23, 35230.79, 35463.97, 35230.79, 35411.24
07/21/23, 35274.32, 35340.66, 35186.05, 35227.69
07/20/23, 35091.98, 35372.77, 35091.98, 35225.18
07/19/23, 34991.21, 35234.05, 34991.21, 35061.21
07/18/23, 34597.08, 34986.36, 34530.61, 34951.93
07/17/23, 34499.74, 34665.15, 34418.72, 34585.35
07/14/23, 34425.33, 34592.26, 34425.33, 34509.03
07/13/23, 34412.31, 34482.26, 34365.33, 34395.14
07/12/23, 34395.28, 34586.94, 34308.78, 34347.43
07/11/23, 34056.94, 34288.87, 33993.01, 34261.42
07/10/23, 33705.68, 33958.36, 33705.68, 33944.40
07/07/23, 33837.07, 34036.38, 33716.75, 33734.88
07/06/23, 34171.39, 34171.39, 33771.47, 33922.26
07/05/23, 34344.72, 34376.11, 34226.98, 34288.64
07/03/23, 34369.78, 34465.60, 34286.54, 34418.47
06/30/23, 34269.92, 34467.35, 34269.92, 34407.60
06/29/23, 33854.57, 34147.68, 33828.63, 34122.42
06/28/23, 33881.38, 33903.76, 33755.92, 33852.66
06/27/23, 33739.03, 33975.65, 33730.39, 33926.74
06/26/23, 33730.79, 33819.49, 33610.32, 33714.71
06/23/23, 33835.66, 33835.66, 33646.49, 33727.43
06/22/23, 33900.47, 34003.56, 33835.39, 33946.71
06/21/23, 33990.56, 34097.93, 33876.17, 33951.52
06/20/23, 34206.66, 34206.66, 33915.93, 34053.87
06/16/23, 34464.02, 34588.68, 34285.69, 34299.12
06/15/23, 33945.98, 34488.98, 33945.98, 34408.06
06/14/23, 34044.70, 34151.42, 33783.55, 33979.33
06/13/23, 34111.08, 34310.28, 34107.98, 34212.12
06/12/23, 33906.80, 34077.84, 33878.46, 34066.33
06/09/23, 33852.44, 33975.32, 33787.16, 33876.78
06/08/23, 33656.98, 33873.81, 33630.04, 33833.61
