Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
1,Grand Theft Auto V,2014,Action,Rockstar Games,4.7,3.25,0.01,0.76,8.72
2,Call of Duty: Black Ops 3,2015,Shooter,Activision,4.63,2.04,0.02,0.68,7.37
3,Call of Duty: WWII,2017,Shooter,Activision,3.75,1.91,0,0.57,6.23
4,Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,3.76,1.47,0,0.54,5.77
5,MineCraft,2014,Misc,Microsoft Studios,3.23,1.71,0,0.49,5.43
6,Call of Duty: Advanced Warfare,2014,Shooter,Activision,3.25,1.49,0.01,0.48,5.22
7,Battlefield 1,2016,Shooter,Electronic Arts,3.37,1.26,0.02,0.48,5.13
8,Fallout 4,2015,Role-Playing,Bethesda Softworks,2.94,1.62,0.02,0.45,5.03
9,Halo 5: Guardians,2015,Shooter,Microsoft Studios,2.94,1.49,0.03,0.45,4.92
10,Call of Duty: Infinite Warfare,2016,Shooter,Activision,2.91,1.44,0,0.44,4.79
11,Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,2.49,1.26,0.02,0.38,4.15
12,Forza Horizon 3,2016,Racing,Microsoft Studios,1.64,1.96,0.02,0.32,3.93
13,FIFA 17,2016,Sports,Electronic Arts,1.04,2.4,0,0.27,3.71
14,Gears of War: Ultimate Edition,2015,Shooter,Microsoft Studios,2.88,0.37,0,0.37,3.62
15,Assassin's Creed: Unity,2014,Action,Ubisoft,2.34,0.9,0,0.34,3.58
16,Halo: The Master Chief Collection,2014,Shooter,Microsoft Studios,2.06,1.04,0.03,0.31,3.44
17,Destiny,2014,Shooter,Activision,2.17,0.92,0,0.32,3.41
18,Gears of War 4,2016,Shooter,Microsoft Studios,2.17,0.9,0,0.32,3.38
19,FIFA 16,2015,Sports,EA Sports,0.92,2.1,0,0.24,3.25
20,FIFA 18,2017,Sports,EA Sports,0.98,1.92,0,0.23,3.14
21,Titanfall,2014,Shooter,Electronic Arts,1.88,0.91,0.04,0.28,3.11
22,Call of Duty: Ghosts,2013,Shooter,Activision,1.92,0.86,0,0.28,3.07
23,Overwatch,2016,Shooter,Blizzard Entertainment,1.63,0.84,0,0.25,2.72
24,Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1.62,0.84,0,0.25,2.71
25,Tom Clancy's The Division,2016,Shooter,Ubisoft,1.54,0.82,0,0.24,2.59
26,Assassin's Creed Origins,2017,Action,Ubisoft,1.34,0.92,0,0.22,2.47
27,Madden NFL 16,2015,Sports,EA Sports,2.13,0.08,0,0.26,2.47
28,Madden NFL 17,2016,Sports,EA Sports,2.14,0.04,0,0.26,2.44
29,NBA 2K16,2015,Sports,2K Sports,2.01,0.15,0,0.25,2.41
30,Forza Motorsport 5,2013,Racing,Microsoft Studios,1.28,0.9,0.01,0.21,2.4
31,Destiny 2,2017,Shooter,Activision,1.66,0.47,0,0.23,2.35
32,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.51,0.59,0,0.22,2.32
33,FIFA 15,2014,Sports,EA Sports,0.64,1.39,0,0.16,2.19
34,PlayerUnknown's Battlegrounds,2017,Shooter,Microsoft Studios,1.29,0.69,0,0.2,2.17
35,Battlefield 4,2013,Shooter,Electronic Arts,1.26,0.65,0,0.19,2.09
36,NBA 2K17,2016,Sports,2K Sports,1.7,0.12,0,0.21,2.04
37,Forza Motorsport 6,2015,Racing,Microsoft Studios,0.9,0.92,0.04,0.16,2.02
38,NBA 2K18,2017,Sports,2K Sports,1.67,0.14,0,0.21,2.02
39,Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,1.15,0.59,0,0.17,1.92
40,Madden NFL 18,2017,Sports,EA Sports,1.63,0.07,0,0.2,1.91
41,The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,1.13,0.53,0,0.17,1.83
42,Far Cry 5,2018,Action,Ubisoft,1.14,0.47,0,0.17,1.78
43,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,1.34,0.23,0,0.18,1.74
