age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,admin.,married,secondary,no,11434,no,no,cellular,14,jan,152,3,259,10,unknown,no
87,student,single,secondary,no,-1149,no,yes,cellular,9,mar,911,11,195,2,failure,no
62,housemaid,single,primary,no,14361,no,no,cellular,27,nov,2563,12,-1,0,unknown,yes
23,unemployed,single,secondary,no,28512,no,no,cellular,27,jun,696,12,-1,0,unknown,yes
27,housemaid,married,secondary,no,58589,yes,no,cellular,18,apr,2834,11,-1,0,unknown,yes
47,admin.,married,secondary,no,72341,no,no,cellular,13,nov,1909,5,127,9,success,yes
72,housemaid,married,secondary,no,64784,yes,no,telephone,5,nov,685,14,-1,0,unknown,yes
77,self-employed,single,secondary,no,87166,no,no,cellular,9,nov,1423,4,81,8,unknown,yes
51,self-employed,married,secondary,no,79959,yes,no,cellular,5,jun,3153,6,-1,0,unknown,yes
85,admin.,married,secondary,no,45576,no,no,cellular,2,apr,2353,3,249,2,other,yes
34,services,married,unknown,no,67163,no,no,cellular,18,dec,2855,7,-1,0,unknown,yes
65,entrepreneur,divorced,secondary,no,6392,yes,no,cellular,8,jan,320,2,17,6,unknown,yes
80,management,married,tertiary,no,73525,yes,no,telephone,7,feb,427,14,-1,0,unknown,yes
24,unemployed,married,secondary,no,93448,yes,no,cellular,7,sep,1867,5,-1,0,unknown,yes
49,technician,married,tertiary,no,4630,no,no,cellular,3,apr,711,14,-1,0,unknown,no
45,student,divorced,primary,yes,49173,yes,no,cellular,14,dec,3022,18,-1,0,unknown,no
80,services,single,secondary,no,94434,yes,no,cellular,19,aug,2089,17,261,2,other,no
26,unemployed,married,secondary,no,72668,yes,no,cellular,14,nov,2420,19,-1,0,unknown,yes
44,unemployed,married,secondary,no,86039,no,no,telephone,30,feb,68,15,-1,0,unknown,no
90,technician,single,secondary,no,43745,no,no,cellular,6,aug,3445,18,-1,0,unknown,yes
85,admin.,married,secondary,no,11577,no,yes,cellular,4,dec,2296,5,310,4,success,yes
51,self-employed,married,tertiary,no,10097,no,no,cellular,11,mar,2639,9,227,9,success,yes
32,technician,divorced,tertiary,no,2722,no,no,cellular,5,jan,1292,12,-1,0,unknown,no
23,blue-collar,single,secondary,no,71385,no,no,cellular,5,apr,3571,6,-1,0,unknown,yes
70,admin.,single,tertiary,no,51964,no,no,telephone,9,mar,3255,4,-1,0,unknown,no
78,management,single,tertiary,no,27831,yes,no,cellular,9,feb,3197,9,-1,0,unknown,yes
86,blue-collar,divorced,primary,no,21405,no,no,cellular,20,jul,1445,11,-1,0,unknown,yes
32,student,divorced,secondary,no,55154,yes,no,cellular,24,dec,3048,7,-1,0,unknown,no
60,housemaid,married,tertiary,no,37363,yes,no,cellular,23,may,2300,5,341,7,success,yes
90,retired,married,tertiary,no,25549,yes,no,cellular,15,aug,1841,7,-1,0,unknown,yes
39,unemployed,single,secondary,no,41933,yes,no,cellular,10,apr,3333,7,24,4,other,yes
27,entrepreneur,married,secondary,no,89272,yes,no,cellular,23,jan,3105,4,-1,0,unknown,yes
84,entrepreneur,single,secondary,no,57829,yes,no,cellular,18,oct,1329,15,-1,0,unknown,yes
82,student,married,secondary,no,95472,no,no,telephone,27,nov,1165,17,-1,0,unknown,yes
74,technician,married,secondary,no,68798,yes,yes,cellular,5,dec,906,3,-1,0,unknown,yes
77,student,single,tertiary,no,98898,no,no,telephone,25,oct,1588,16,181,5,other,yes
71,self-employed,married,secondary,no,26906,yes,no,cellular,13,jun,2769,13,-1,0,unknown,yes
34,housemaid,married,tertiary,no,84900,yes,no,cellular,15,mar,235,9,-1,0,unknown,no
45,entrepreneur,married,tertiary,no,96567,no,no,telephone,16,jan,3098,18,180,4,success,yes
23,admin.,divorced,secondary,yes,17973,yes,no,cellular,31,apr,1934,9,-1,0,unknown,no
39,housemaid,married,tertiary,no,19465,no,yes,cellular,10,oct,2804,13,-1,0,unknown,yes
27,housemaid,married,secondary,no,99250,yes,no,telephone,26,oct,3235,2,220,6,unknown,yes
19,student,married,primary,no,81307,no,no,cellular,6,dec,2167,9,-1,0,unknown,yes
79,entrepreneur,married,tertiary,no,30177,no,yes,telephone,8,aug,2364,20,-1,0,unknown,yes
81,blue-collar,single,secondary,no,42608,yes,no,telephone,18,jan,2146,7,209,8,success,yes
78,unemployed,married,secondary,yes,36566,yes,no,cellular,19,jun,1968,18,-1,0,unknown,no
72,self-employed,married,tertiary,no,30951,yes,no,cellular,24,sep,3151,6,248,5,success,yes
85,housemaid,single,primary,no,27816,yes,no,telephone,5,may,216,2,-1,0,unknown,no
34,unemployed,married,secondary,no,73243,yes,no,cellular,31,jan,1064,16,34,7,success,yes
24,services,single,secondary,no,30530,yes,no,cellular,26,oct,954,17,-1,0,unknown,yes
56,housemaid,divorced,secondary,no,77905,no,yes,telephone,21,apr,1113,3,89,9,unknown,no
75,housemaid,married,primary,no,35056,no,no,cellular,30,may,3256,19,-1,0,unknown,yes
72,technician,married,secondary,no,16643,yes,no,cellular,24,oct,1212,15,353,5,success,yes
82,self-employed,married,primary,no,54626,no,no,cellular,8,nov,3454,19,-1,0,unknown,no
52,housemaid,single,tertiary,no,83394,yes,no,unknown,14,nov,3365,16,-1,0,unknown,yes
70,blue-collar,married,primary,no,51955,no,no,telephone,27,sep,180,15,130,6,failure,no
69,self-employed,married,primary,no,58552,yes,no,cellular,25,aug,2591,15,-1,0,unknown,yes
88,services,divorced,secondary,no,13915,yes,no,telephone,23,mar,1302,18,209,2,failure,yes
32,entrepreneur,divorced,secondary,no,91926,yes,no,cellular,16,aug,1028,15,-1,0,unknown,yes
83,services,married,secondary,no,52387,yes,no,cellular,1,may,3003,10,-1,0,unknown,yes
80,services,married,secondary,no,97991,yes,no,cellular,7,dec,1008,19,-1,0,unknown,yes
70,admin.,married,secondary,no,47968,yes,no,telephone,5,aug,181,5,-1,0,unknown,no
60,technician,married,secondary,no,57890,yes,yes,telephone,5,feb,1953,9,355,7,success,yes
86,student,divorced,secondary,no,61956,no,yes,cellular,21,nov,1207,8,-1,0,unknown,yes
30,unemployed,married,primary,no,37251,no,yes,telephone,10,jun,1565,14,272,7,success,yes
39,services,single,tertiary,no,29566,yes,no,cellular,21,may,1912,9,-1,0,unknown,yes
77,retired,married,primary,no,43293,no,no,unknown,23,may,1901,10,197,8,failure,yes
63,housemaid,single,tertiary,yes,84275,yes,yes,telephone,25,dec,230,20,-1,0,unknown,no
54,management,married,secondary,no,79381,yes,no,telephone,22,mar,2603,4,-1,0,unknown,yes
57,entrepreneur,single,secondary,no,36680,yes,no,cellular,26,sep,1528,17,-1,0,unknown,yes
39,retired,divorced,unknown,no,36684,no,no,cellular,31,feb,606,8,-1,0,unknown,yes
68,self-employed,married,tertiary,yes,68329,yes,no,telephone,9,oct,1590,12,120,8,unknown,no
89,blue-collar,divorced,secondary,no,58852,no,no,cellular,5,jan,182,10,-1,0,unknown,no
32,technician,single,secondary,no,46629,no,no,telephone,14,oct,3070,5,-1,0,unknown,yes
80,housemaid,married,unknown,no,46566,yes,no,cellular,12,feb,2838,12,-1,0,unknown,yes
63,admin.,married,secondary,no,57600,yes,no,cellular,1,jan,3252,11,65,10,failure,yes
88,management,married,tertiary,no,99498,yes,no,cellular,28,mar,562,18,90,2,success,no
19,blue-collar,married,secondary,no,20838,yes,yes,cellular,4,dec,290,16,-1,0,unknown,no
64,self-employed,married,secondary,no,78623,yes,no,telephone,17,may,1906,1,246,7,failure,no
74,technician,divorced,secondary,no,14540,yes,no,cellular,11,jul,2476,17,259,10,failure,yes
32,unemployed,married,tertiary,no,26183,yes,no,cellular,27,aug,1663,14,-1,0,unknown,yes
58,unemployed,single,unknown,no,60163,yes,no,cellular,4,dec,3056,12,-1,0,unknown,yes
89,self-employed,married,primary,no,85207,no,no,telephone,2,may,2489,10,-1,0,unknown,yes
45,services,married,secondary,no,70910,yes,no,cellular,26,jul,3491,18,-1,0,unknown,yes
89,admin.,married,secondary,no,1794,yes,no,cellular,11,jun,55,6,-1,0,unknown,no
90,unemployed,married,primary,no,2018,yes,no,cellular,15,jun,674,12,167,10,success,yes
37,services,married,primary,no,56079,no,no,cellular,9,apr,3122,17,221,2,failure,yes
80,self-employed,married,primary,no,76554,yes,no,telephone,25,mar,3160,9,62,1,success,yes
34,student,married,secondary,no,85562,no,yes,telephone,2,jul,106,15,-1,0,unknown,no
58,housemaid,married,secondary,no,35947,yes,yes,cellular,26,oct,1914,12,55,4,failure,no
69,self-employed,single,tertiary,no,27041,yes,no,cellular,4,sep,2118,7,-1,0,unknown,yes
36,management,single,secondary,no,18036,no,no,cellular,25,nov,2053,15,-1,0,unknown,yes
75,unemployed,divorced,secondary,no,79857,yes,no,cellular,15,feb,1950,15,-1,0,unknown,yes
25,blue-collar,married,secondary,no,5456,yes,no,cellular,28,feb,2549,20,-1,0,unknown,yes
88,admin.,married,tertiary,no,40143,no,no,unknown,15,feb,3351,11,-1,0,unknown,no
40,admin.,single,secondary,no,66517,no,no,telephone,13,jul,3202,11,-1,0,unknown,no
60,technician,married,secondary,no,31029,no,no,telephone,28,mar,1395,3,-1,0,unknown,no
62,retired,divorced,tertiary,no,75993,no,yes,cellular,21,jun,3360,5,-1,0,unknown,yes
85,technician,married,secondary,no,45526,yes,no,cellular,25,aug,816,8,-1,0,unknown,no
55,technician,married,secondary,no,67013,yes,no,telephone,5,oct,1573,5,355,10,other,no
74,admin.,married,tertiary,no,56222,no,no,telephone,8,sep,1009,10,-1,0,unknown,yes
42,blue-collar,married,secondary,no,98851,yes,no,cellular,31,mar,3375,7,-1,0,unknown,no
50,admin.,married,tertiary,no,11446,no,no,cellular,3,mar,1147,15,-1,0,unknown,no
