Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location
100000,4452.0,2023-01-01,Online,Walmart,Travel,4520.7,Debit Card,Approved,Jonesport
100001,2775.0,2023-01-01,ATM,BestBuy,Travel,1437.85,Debit Card,Approved,Port Jennifer
100002,2259.0,2023-01-01,Mobile Payment,Uber,Clothing,3320.52,PayPal,Approved,Port James
100003,4545.0,2023-01-01,Online,BestBuy,Travel,2659.96,Debit Card,Approved,Hawkinston
100004,2137.0,2023-01-01,ATM,Amazon,Travel,2517.07,Debit Card,Approved,Matthewland
100005,4096.0,2023-01-01,ATM,Uber,Groceries,2032.91,UPI,Approved,West Patriciamouth
100006,1587.0,2023-01-01,Online,Netflix,Entertainment,2309.06,Debit Card,Approved,Scottport
100007,2103.0,2023-01-01,ATM,Uber,Dining,334.82,PayPal,Pending,Shawview
100008,3553.0,2023-01-01,POS,Amazon,Dining,374.29,PayPal,Approved,Port Lindsay
100009,4821.0,2023-01-01,Mobile Payment,Netflix,Electronics,1117.12,UPI,Approved,Lake Steveport
100010,3887.0,2023-01-01,Mobile Payment,Target,Entertainment,1908.74,PayPal,Approved,Ginachester
100011,4816.0,2023-01-01,Mobile Payment,Netflix,Groceries,4530.51,PayPal,Approved,Petersonbury
100012,3914.0,2023-01-01,Mobile Payment,Netflix,Dining,3059.09,PayPal,Approved,South Rhonda
100013,4276.0,2023-01-01,ATM,Target,Electronics,2105.42,Credit Card,Approved,Sosamouth
100014,1855.0,2023-01-01,Online,Walmart,Clothing,2365.67,Credit Card,Approved,Catherineland
100015,1903.0,2023-01-01,ATM,Uber,Clothing,3093.14,PayPal,Approved,North Jessicahaven
100016,4015.0,2023-01-01,ATM,Netflix,Groceries,2330.34,UPI,Approved,South Alicia
100017,3753.0,2023-01-01,Mobile Payment,Target,Electronics,2395.64,Debit Card,Approved,Marshshire
100018,4438.0,2023-01-01,Online,BestBuy,Dining,2930.38,UPI,Approved,Johnsonside
100019,1139.0,2023-01-01,POS,Target,Dining,971.57,Debit Card,Approved,Brandonmouth
100020,1337.0,2023-01-01,POS,Uber,Dining,4684.13,PayPal,Approved,Nicholsonside
100021,2569.0,2023-01-01,ATM,Target,Clothing,2080.94,PayPal,Approved,Dustinmouth
100022,3057.0,2023-01-01,Online,BestBuy,Groceries,4094.49,PayPal,Approved,West Kenneth
100023,1086.0,2023-01-01,ATM,Target,Dining,580.76,Credit Card,Approved,West William
100024,2551.0,2023-01-02,ATM,Uber,Groceries,4013.36,Debit Card,Approved,Timothyville
100025,1942.0,2023-01-02,Mobile Payment,Walmart,Electronics,3385.38,Debit Card,Approved,Spencermouth
100026,4254.0,2023-01-02,Online,BestBuy,Travel,4054.78,Credit Card,Approved,Stevensmouth
100027,1719.0,2023-01-02,Online,Walmart,Entertainment,4471.68,UPI,Pending,Riveramouth
100028,3374.0,2023-01-02,Mobile Payment,Walmart,Groceries,1411.35,UPI,Approved,Ryanbury
100029,4073.0,2023-01-02,Online,BestBuy,Clothing,2905.62,Credit Card,Approved,Annaland
100030,1431.0,2023-01-02,ATM,Uber,Dining,2609.42,Debit Card,Approved,Kellymouth
100031,1466.0,2023-01-02,POS,Target,Entertainment,41.99,PayPal,Approved,North Joshuaburgh
100032,4184.0,2023-01-02,Mobile Payment,Uber,Groceries,1810.88,Credit Card,Approved,Lake Morganside
100033,3862.0,2023-01-02,Online,Uber,Electronics,1499.08,Credit Card,Approved,East Samanthaview
100034,2424.0,2023-01-02,Online,Target,Groceries,4074.73,PayPal,Approved,North Marytown
100035,2851.0,2023-01-02,Online,Apple Store,Travel,171.99,Credit Card,Pending,Port Katherine
100036,1107.0,2023-01-02,ATM,Target,Travel,4852.43,Debit Card,Declined,North Mckenzieburgh
100037,2839.0,2023-01-02,ATM,BestBuy,Entertainment,1236.68,Credit Card,Approved,Juliebury
100038,4786.0,2023-01-02,ATM,Apple Store,Groceries,4131.19,Debit Card,Approved,Port Eric
100039,2038.0,2023-01-02,ATM,Amazon,Entertainment,4751.63,Credit Card,Approved,Stevensonland
100040,1782.0,2023-01-02,Online,Netflix,Entertainment,860.42,Debit Card,Declined,New Kathrynstad
100041,1619.0,2023-01-02,ATM,Amazon,Electronics,4406.84,Debit Card,Approved,Williamsland
100042,1455.0,2023-01-02,ATM,BestBuy,Travel,4213.55,PayPal,Approved,Allisonborough
100043,2782.0,2023-01-02,POS,Uber,Clothing,4156.06,PayPal,Declined,East Patrickborough
100044,4989.0,2023-01-02,ATM,Walmart,Electronics,4781.68,PayPal,Approved,Raymondhaven
100045,2961.0,2023-01-02,Online,Target,Groceries,4156.79,UPI,Pending,Ashleyhaven
100046,3227.0,2023-01-02,Mobile Payment,Apple Store,Travel,2989.81,Debit Card,Approved,East Tonychester
100047,1161.0,2023-01-02,Online,Amazon,Groceries,3471.17,PayPal,Approved,Gutierrezhaven
100048,3722.0,2023-01-03,ATM,BestBuy,Groceries,3987.73,Debit Card,Approved,East Jack
100049,2533.0,2023-01-03,ATM,Netflix,Clothing,4925.38,UPI,Approved,West Michael
100050,3364.0,2023-01-03,Mobile Payment,Amazon,Electronics,501.03,Debit Card,Approved,New Jenniferchester
100051,4451.0,2023-01-03,Mobile Payment,Uber,Groceries,3200.15,UPI,Approved,Martinfort
100052,3509.0,2023-01-03,Mobile Payment,Walmart,Travel,3402.84,PayPal,Approved,Jeffreyside
