Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Merchant,Category,Amount,Payment_Mode,Transaction_Status,Location
100000,4452.0,2023-01-01,,Walmart,Travel,4520.7,Debit Card,Approved,Jonesport
100001,2775.0,2023-01-01,ATM,BestBuy,Travel,1437.85,Debit Card,Approved,
100002,2259.0,2023-01-01,Mobile Payment,Uber,Clothing,3320.52,PayPal,Approved,Port James
100003,4545.0,2023-01-01,Online,BestBuy,Travel,2659.96,Debit Card,Approved,Hawkinston
100004,2137.0,2023-01-01,ATM,,Travel,2517.07,Debit Card,Approved,Matthewland
100005,4096.0,2023-01-01,,Uber,Groceries,2032.91,UPI,Approved,West Patriciamouth
100006,1587.0,2023-01-01,Online,Netflix,,2309.06,Debit Card,Approved,Scottport
100007,2103.0,2023-01-01,ATM,Uber,Dining,334.82,PayPal,Pending,Shawview
100008,3553.0,2023-01-01,POS,Amazon,Dining,374.29,PayPal,Approved,Port Lindsay
100009,4821.0,2023-01-01,Mobile Payment,Netflix,Electronics,1117.12,,,Lake Steveport
100010,3887.0,2023-01-01,Mobile Payment,Target,Entertainment,1908.74,PayPal,Approved,Ginachester
100011,4816.0,2023-01-01,Mobile Payment,Netflix,Groceries,4530.51,PayPal,Approved,Petersonbury
100012,3914.0,2023-01-01,Mobile Payment,Netflix,Dining,3059.09,PayPal,,South Rhonda
100013,4276.0,2023-01-01,ATM,Target,,2105.42,Credit Card,Approved,Sosamouth
100014,1855.0,2023-01-01,Online,Walmart,Clothing,2365.67,Credit Card,Approved,Catherineland
100015,1903.0,2023-01-01,ATM,,Clothing,3093.14,PayPal,Approved,North Jessicahaven
100016,4015.0,2023-01-01,ATM,Netflix,Groceries,2330.34,UPI,Approved,South Alicia
100017,,2023-01-01,Mobile Payment,Target,Electronics,2395.64,,Approved,Marshshire
100018,4438.0,2023-01-01,Online,BestBuy,Dining,2930.38,UPI,Approved,Johnsonside
100019,1139.0,2023-01-01,POS,Target,Dining,971.57,Debit Card,Approved,Brandonmouth
100020,1337.0,2023-01-01,POS,Uber,Dining,4684.13,PayPal,,Nicholsonside
100021,2569.0,2023-01-01,,Target,Clothing,2080.94,PayPal,Approved,Dustinmouth
100022,3057.0,2023-01-01,Online,BestBuy,,4094.49,PayPal,Approved,West Kenneth
100023,1086.0,,ATM,Target,Dining,580.76,Credit Card,Approved,West William
100024,2551.0,2023-01-02,ATM,Uber,Groceries,4013.36,Debit Card,Approved,Timothyville
100025,1942.0,2023-01-02,Mobile Payment,Walmart,Electronics,3385.38,Debit Card,,Spencermouth
100026,4254.0,2023-01-02,Online,BestBuy,Travel,4054.78,Credit Card,Approved,Stevensmouth
100027,,2023-01-02,Online,Walmart,Entertainment,4471.68,UPI,Pending,Riveramouth
100028,3374.0,,Mobile Payment,Walmart,Groceries,1411.35,UPI,Approved,Ryanbury
100029,4073.0,,Online,BestBuy,Clothing,2905.62,Credit Card,Approved,Annaland
100030,1431.0,2023-01-02,,Uber,Dining,2609.42,Debit Card,Approved,Kellymouth
100031,1466.0,2023-01-02,POS,Target,Entertainment,41.99,,Approved,North Joshuaburgh
100032,4184.0,2023-01-02,Mobile Payment,,Groceries,1810.88,,Approved,Lake Morganside
100033,3862.0,2023-01-02,Online,Uber,Electronics,,Credit Card,Approved,East Samanthaview
100034,2424.0,2023-01-02,Online,Target,Groceries,4074.73,PayPal,Approved,North Marytown
100035,2851.0,2023-01-02,Online,Apple Store,Travel,,Credit Card,Pending,Port Katherine
100036,1107.0,2023-01-02,ATM,Target,Travel,4852.43,Debit Card,Declined,North Mckenzieburgh
100037,2839.0,2023-01-02,ATM,BestBuy,Entertainment,,Credit Card,Approved,Juliebury
100038,4786.0,2023-01-02,ATM,Apple Store,Groceries,,Debit Card,Approved,Port Eric
100039,2038.0,2023-01-02,ATM,Amazon,Entertainment,4751.63,Credit Card,Approved,Stevensonland
100040,1782.0,2023-01-02,Online,Netflix,Entertainment,860.42,,Declined,New Kathrynstad
100041,1619.0,2023-01-02,ATM,Amazon,Electronics,4406.84,Debit Card,Approved,Williamsland
100042,1455.0,2023-01-02,,BestBuy,Travel,4213.55,PayPal,Approved,Allisonborough
100043,2782.0,2023-01-02,POS,Uber,Clothing,4156.06,PayPal,Declined,East Patrickborough
100044,4989.0,2023-01-02,ATM,Walmart,Electronics,4781.68,PayPal,Approved,Raymondhaven
100045,2961.0,2023-01-02,Online,Target,Groceries,4156.79,UPI,Pending,Ashleyhaven
100046,3227.0,2023-01-02,,,Travel,2989.81,Debit Card,Approved,East Tonychester
100047,1161.0,2023-01-02,Online,Amazon,Groceries,3471.17,PayPal,Approved,Gutierrezhaven
100048,3722.0,2023-01-03,ATM,BestBuy,Groceries,3987.73,Debit Card,Approved,East Jack
100049,2533.0,2023-01-03,ATM,Netflix,Clothing,4925.38,,Approved,West Michael
100050,3364.0,2023-01-03,Mobile Payment,Amazon,Electronics,501.03,Debit Card,Approved,New Jenniferchester
100051,,2023-01-03,Mobile Payment,Uber,Groceries,3200.15,UPI,Approved,Martinfort
100052,3509.0,2023-01-03,Mobile Payment,Walmart,,3402.84,PayPal,Approved,Jeffreyside
100053,3805.0,2023-01-03,,BestBuy,Entertainment,1951.39,,Declined,Port Robertburgh
100054,4422.0,2023-01-03,ATM,Netflix,Groceries,2242.64,,Approved,Lake Ryanton
100055,4468.0,2023-01-03,POS,Amazon,Clothing,,PayPal,Approved,Scottside
100056,4809.0,2023-01-03,Online,BestBuy,Groceries,1676.34,PayPal,Approved,East Anna
100057,1328.0,2023-01-03,ATM,Walmart,Electronics,1643.81,PayPal,Approved,
100058,1098.0,2023-01-03,,Walmart,Clothing,3130.03,PayPal,,South Tabitha
100059,1034.0,,Mobile Payment,Amazon,Entertainment,1093.3,PayPal,Approved,North William
100060,2656.0,2023-01-03,Mobile Payment,,Clothing,2273.57,UPI,Approved,East Timothy
100061,4328.0,2023-01-03,Online,Uber,Electronics,2805.62,UPI,Approved,Jonesland
100062,2777.0,,Mobile Payment,Uber,Clothing,3782.64,Debit Card,Approved,Aaronmouth
100063,2814.0,2023-01-03,POS,Target,Clothing,2031.65,PayPal,Approved,North Daniel
100064,3197.0,2023-01-03,Mobile Payment,Uber,Entertainment,2604.07,PayPal,Approved,
100065,2224.0,2023-01-03,,Apple Store,Travel,3019.72,UPI,Approved,Richardview
100066,4433.0,2023-01-03,Online,Uber,Entertainment,85.61,Credit Card,Approved,East Nathan
100067,3609.0,2023-01-03,Online,Netflix,Groceries,1698.42,Credit Card,Approved,Lisamouth
100068,,2023-01-03,POS,Apple Store,Travel,4135.21,PayPal,Approved,Mauriceton
100069,4546.0,,Mobile Payment,Walmart,Groceries,1845.61,Debit Card,Approved,West Leslie
100070,4784.0,2023-01-03,,Target,Electronics,,PayPal,Declined,New Teresafurt
100071,1661.0,2023-01-03,Mobile Payment,BestBuy,Clothing,379.42,Credit Card,Approved,North Jamesville
100072,3787.0,2023-01-04,Online,Walmart,Electronics,3755.97,Credit Card,Approved,Daniellefort
100073,3668.0,2023-01-04,POS,Walmart,Dining,1597.14,UPI,Approved,Valenciamouth
100074,,2023-01-04,POS,Netflix,Groceries,1200.22,Credit Card,Approved,Mcdonaldfort
100075,3762.0,2023-01-04,ATM,Target,Dining,1135.18,PayPal,Approved,Smithshire
100076,3238.0,,Online,Apple Store,Electronics,,PayPal,Approved,North Ryan
100077,3084.0,2023-01-04,POS,Netflix,Clothing,3835.05,Debit Card,Pending,New Stephanieland
100078,3016.0,2023-01-04,Mobile Payment,Uber,Clothing,3175.66,UPI,Approved,
100079,1391.0,,Online,Target,Entertainment,4634.83,UPI,Declined,Rogershaven
100080,3895.0,2023-01-04,Mobile Payment,Amazon,Electronics,4065.49,PayPal,Approved,North Matthew
100081,1852.0,2023-01-04,ATM,BestBuy,,2029.32,PayPal,Approved,East Crystalchester
100082,3470.0,,Mobile Payment,Uber,Entertainment,4564.52,Debit Card,Approved,
100083,4259.0,2023-01-04,Mobile Payment,Netflix,Clothing,182.95,Credit Card,Approved,Robertport
100084,,2023-01-04,Online,Netflix,Groceries,2911.11,Debit Card,Approved,Lisamouth
