Order ID,Product,Category,Quantity Ordered,Price Each,Order Date,City,Customer ID
1,Laptop,Electronics,1,834.18,2024-07-28 15:26:51,Chicago,4676
2,Shoes,Apparel,4,903.27,2024-01-26 13:10:16,New York,1891
3,Laptop,Electronics,2,365.51,2024-12-02 20:36:02,Chicago,4254
4,Pillow,Home Goods,5,169.17,2024-04-27 02:18:27,Houston,2859
5,Smartphone,Electronics,5,498.51,2024-03-31 06:02:42,Phoenix,5713
6,Jacket,Apparel,5,668.15,2024-12-09 08:26:19,New York,8987
7,Hat,Apparel,3,272.96,2024-12-17 01:30:43,New York,4589
8,Jacket,Apparel,5,261.4,2024-11-19 00:52:14,Los Angeles,9957
9,Hat,Apparel,3,173.9,2024-07-02 06:28:37,Phoenix,5577
10,Tablet,Electronics,2,316.38,2024-08-26 09:36:35,Phoenix,3079
11,Tablet,Electronics,4,348.49,2024-11-11 12:46:49,New York,4716
12,Smartphone,Electronics,3,98.83,2024-03-02 13:54:55,San Antonio,8559
13,Lamp,Home Goods,2,521.68,2024-07-26 12:48:21,New York,9258
14,Headphones,Electronics,1,505.95,2024-07-22 11:04:57,San Diego,5779
15,Jeans,Apparel,5,638.41,2024-05-21 19:29:03,Phoenix,5523
16,Jacket,Apparel,3,35.18,2024-02-03 12:05:40,Houston,8919
17,T-shirt,Apparel,4,616.19,2024-06-29 18:46:51,Dallas,2775
18,Smartphone,Electronics,2,484.44,2024-06-21 20:06:39,Los Angeles,2996
19,Coffee Mug,Home Goods,5,267.33,2024-05-27 01:06:29,Dallas,3928
20,Laptop,Electronics,1,566.75,2024-07-20 11:51:11,San Diego,3442
21,Headphones,Electronics,3,649.88,2024-08-25 07:36:08,Chicago,4834
22,Headphones,Electronics,5,11.77,2024-05-03 23:32:05,San Antonio,7015
23,Blanket,Home Goods,2,26.38,2024-04-09 00:50:18,Los Angeles,5092
24,Headphones,Electronics,2,790.72,2024-10-14 04:07:42,Houston,9964
25,Hat,Apparel,3,859.27,2024-05-09 21:17:46,San Antonio,6999
26,Blanket,Home Goods,2,872.99,2024-10-10 15:54:47,San Antonio,7831
27,Hat,Apparel,1,850.79,2024-04-29 11:48:47,Houston,6741
28,Camera,Electronics,3,400.47,2024-07-25 02:07:09,San Diego,6591
29,Tablet,Electronics,2,313.42,2024-11-07 08:40:26,New York,6183
30,Laptop,Electronics,4,194.38,2024-01-06 19:57:03,Houston,1744
31,Jacket,Apparel,1,805.04,2024-08-10 00:41:49,Chicago,5842
32,Pillow,Home Goods,5,328.76,2024-01-17 08:22:33,Chicago,2827
33,Jacket,Apparel,3,363.39,2024-02-28 22:40:24,Los Angeles,1188
34,Pillow,Home Goods,1,455.47,2024-01-20 10:40:27,San Antonio,3015
35,Laptop,Electronics,3,961.3,2024-04-17 16:47:04,Houston,9410
36,Headphones,Electronics,3,497.98,2024-03-19 00:24:30,New York,4668
37,Jeans,Apparel,4,726.69,2024-09-28 10:28:46,San Diego,4612
38,Blanket,Home Goods,3,137.94,2024-09-22 22:42:16,Phoenix,9830
39,Chair,Home Goods,4,808.09,2024-09-04 04:28:45,San Diego,8387
40,Laptop,Electronics,4,271.24,2024-06-10 09:28:14,San Antonio,1771
41,T-shirt,Apparel,2,921.56,2024-09-11 00:30:57,San Diego,7198
42,T-shirt,Apparel,1,732.48,2024-06-04 05:50:58,Phoenix,8485
43,T-shirt,Apparel,5,342.5,2024-02-03 07:59:43,Houston,9903
44,Blanket,Home Goods,2,415.62,2024-04-09 04:12:47,Los Angeles,5456
45,Tablet,Electronics,5,672.26,2024-05-11 13:01:26,San Antonio,4120
46,T-shirt,Apparel,1,129.55,2024-04-08 14:53:49,Chicago,5533
47,Tablet,Electronics,2,851.33,2024-10-11 21:49:13,Dallas,8602
48,Lamp,Home Goods,3,915.32,2024-09-19 07:58:57,Phoenix,4737
49,Smartphone,Electronics,4,84.68,2024-02-04 00:56:42,Houston,3426
50,Camera,Electronics,1,450.47,2024-07-27 09:09:49,Dallas,1727
51,Hat,Apparel,1,445.98,2024-04-23 18:40:38,Los Angeles,6269
52,Hat,Apparel,5,127.64,2024-08-21 02:21:13,Phoenix,2405
53,Jeans,Apparel,2,104.96,2024-06-19 01:49:58,Houston,5046
54,Laptop,Electronics,1,724.56,2024-05-26 21:25:58,Houston,4793
55,Tablet,Electronics,1,332.04,2024-09-17 17:27:21,San Antonio,3989
56,Coffee Mug,Home Goods,1,790.21,2024-04-10 14:34:46,San Antonio,4424
57,Headphones,Electronics,5,635.98,2024-04-15 20:57:17,Phoenix,3216
58,Pillow,Home Goods,3,936.95,2024-01-06 04:15:07,San Diego,1055
59,T-shirt,Apparel,2,318.18,2024-07-28 12:57:36,Chicago,8033
60,Hat,Apparel,2,788.75,2024-01-17 15:34:37,Chicago,5560
61,Jeans,Apparel,3,521.78,2024-05-25 05:53:21,Los Angeles,1867
62,Coffee Mug,Home Goods,5,889.72,2024-03-19 21:56:52,San Antonio,2593
63,Lamp,Home Goods,4,870.01,2024-10-31 04:53:24,Dallas,6560
64,Coffee Mug,Home Goods,4,312.63,2024-09-21 10:16:29,Chicago,6432
65,Tablet,Electronics,1,776.34,2024-12-20 06:17:02,San Diego,2113
66,Smartphone,Electronics,1,364.52,2024-01-13 13:15:21,San Diego,4694
67,Tablet,Electronics,4,996.01,2024-05-03 21:54:12,San Diego,1525
68,Jeans,Apparel,3,807.67,2024-07-28 13:21:17,Dallas,7838
69,Headphones,Electronics,3,143.17,2024-02-01 04:14:05,Dallas,5569
70,Jeans,Apparel,3,377.67,2024-08-03 06:46:14,Phoenix,7624
71,Jacket,Apparel,5,682.69,2024-07-12 16:50:43,Phoenix,1396
72,Camera,Electronics,2,47.35,2024-05-05 19:21:27,San Antonio,3472
73,Headphones,Electronics,1,717.98,2024-02-22 06:46:56,San Diego,2144
74,Smartphone,Electronics,2,740.83,2024-04-05 18:45:17,Chicago,1790
75,T-shirt,Apparel,4,773.95,2024-01-23 10:39:55,Houston,7337
76,Pillow,Home Goods,2,645.57,2024-08-12 15:21:42,Chicago,5440
77,Smartphone,Electronics,4,317.55,2024-11-21 15:50:44,Dallas,8068
78,Jacket,Apparel,4,586.52,2024-11-05 02:17:54,Chicago,1026
79,Hat,Apparel,3,112.9,2024-02-03 11:05:20,Chicago,7066
80,Shoes,Apparel,5,128.68,2024-08-19 15:34:09,Chicago,1480
81,T-shirt,Apparel,1,903.97,2024-12-12 11:13:02,Dallas,6013
82,Jacket,Apparel,1,274.43,2024-02-06 10:19:28,Phoenix,3131
83,Blanket,Home Goods,1,199.12,2024-01-03 06:42:02,Chicago,2036
84,Smartphone,Electronics,5,648.27,2024-05-27 08:16:27,Los Angeles,5498
85,T-shirt,Apparel,1,178.32,2024-03-23 06:28:20,Dallas,7266
86,Hat,Apparel,5,542.5,2024-06-24 07:58:34,Houston,8784
87,Headphones,Electronics,2,150.06,2024-10-30 07:46:06,Dallas,5082
88,Smartphone,Electronics,3,710.19,2024-04-08 05:14:36,Phoenix,5361
89,Smartphone,Electronics,4,964.55,2024-08-02 10:14:42,New York,8169
90,Chair,Home Goods,3,705.08,2024-09-03 04:46:25,San Antonio,4364
91,Camera,Electronics,4,581.4,2024-05-30 20:26:52,Chicago,8790
92,Chair,Home Goods,3,890.25,2024-12-05 01:14:38,Houston,4124
93,Pillow,Home Goods,5,262.77,2024-04-18 15:32:49,San Diego,6087
94,T-shirt,Apparel,5,911.98,2024-03-08 20:00:54,San Diego,9302
95,Pillow,Home Goods,3,774.84,2024-02-14 07:34:03,Phoenix,6988
96,Headphones,Electronics,2,382.76,2024-01-21 21:15:36,San Antonio,1687
97,Laptop,Electronics,4,847.24,2024-08-02 17:24:24,Los Angeles,3618
98,Jacket,Apparel,4,197.0,2024-12-06 18:57:19,Dallas,6373
99,Smartphone,Electronics,5,926.56,2024-03-22 00:54:07,New York,4924
100,Jeans,Apparel,2,564.17,2024-08-19 08:25:33,Los Angeles,8494
101,Jacket,Apparel,4,691.43,2024-06-26 15:47:41,Los Angeles,7131
102,Camera,Electronics,4,974.04,2024-05-19 03:15:50,Houston,8065
103,Pillow,Home Goods,2,847.55,2024-09-15 01:52:02,Dallas,3185
104,Jacket,Apparel,3,507.58,2024-10-26 14:08:02,Phoenix,2375
105,Tablet,Electronics,4,625.46,2024-01-06 19:08:17,New York,6675
106,Smartphone,Electronics,4,266.77,2024-09-10 09:35:46,Phoenix,3510
107,Tablet,Electronics,1,349.32,2024-10-29 22:56:27,Phoenix,3207
108,Hat,Apparel,5,77.87,2024-02-27 07:01:24,San Diego,9697
109,Jeans,Apparel,3,981.45,2024-07-08 12:32:22,Chicago,5947
110,Camera,Electronics,3,702.5,2024-04-29 21:01:10,Los Angeles,1471
111,Shoes,Apparel,2,843.76,2024-01-15 02:56:55,Houston,6832
112,Smartphone,Electronics,2,832.46,2024-12-11 03:49:55,Houston,3448
113,Jeans,Apparel,3,170.53,2024-07-16 22:25:59,New York,2259
114,Jeans,Apparel,2,889.15,2024-02-20 22:39:23,Los Angeles,7752
115,Jacket,Apparel,3,156.23,2024-02-01 04:58:45,Dallas,9934
116,Lamp,Home Goods,5,38.66,2024-03-21 21:08:57,San Diego,2163
117,Jeans,Apparel,2,233.35,2024-04-23 23:09:22,San Antonio,1435
118,Blanket,Home Goods,5,622.73,2024-11-14 15:14:32,Los Angeles,5857
119,Smartphone,Electronics,4,628.32,2024-06-10 10:39:11,New York,2165
120,Blanket,Home Goods,1,832.87,2024-05-04 01:46:05,Dallas,4154
121,Camera,Electronics,4,989.97,2024-07-11 04:53:57,Los Angeles,4668
122,Smartphone,Electronics,5,96.69,2024-04-09 06:49:19,New York,3249
123,Chair,Home Goods,3,71.37,2024-11-10 14:58:38,New York,3277
124,Laptop,Electronics,2,227.12,2024-09-10 15:04:14,San Diego,9117
125,Coffee Mug,Home Goods,2,938.43,2024-06-16 12:21:29,New York,9552
