Date, Open, High, Low, Close
01/29/25, 44819.55, 44962.58, 44579.10, 44713.52
01/28/25, 44756.36, 44976.35, 44621.96, 44850.35
01/27/25, 44148.84, 44727.85, 44026.27, 44713.58
01/24/25, 44533.75, 44545.52, 44332.22, 44424.25
01/23/25, 44113.55, 44565.26, 44113.55, 44565.07
01/22/25, 44178.06, 44208.34, 44042.11, 44156.73
01/21/25, 43528.65, 44050.13, 43528.65, 44025.81
01/17/25, 43312.55, 43653.25, 43312.55, 43487.83
01/16/25, 43290.25, 43294.81, 43081.75, 43153.13
01/15/25, 42927.76, 43323.49, 42927.76, 43221.55
01/14/25, 42366.42, 42544.57, 42157.03, 42518.28
01/13/25, 41924.68, 42319.60, 41844.89, 42297.12
01/10/25, 42540.29, 42540.29, 41877.30, 41938.45
01/08/25, 42542.10, 42656.22, 42327.79, 42635.20
01/07/25, 42809.71, 42931.54, 42380.75, 42528.36
01/06/25, 42835.52, 43115.31, 42611.16, 42706.56
01/03/25, 42495.76, 42782.76, 42436.92, 42732.13
01/02/25, 42660.09, 42905.09, 42174.80, 42392.27
12/31/24, 42636.70, 42779.69, 42421.29, 42544.22
12/30/24, 42863.86, 42863.86, 42263.51, 42573.73
12/27/24, 43142.37, 43238.85, 42761.56, 42992.21
12/26/24, 43201.85, 43373.98, 43115.09, 43325.80
12/24/24, 42916.48, 43297.65, 42871.76, 43297.03
12/23/24, 42800.49, 42957.79, 42516.87, 42906.95
12/20/24, 42296.26, 43216.03, 42146.33, 42840.26
12/19/24, 42464.13, 42787.85, 42334.13, 42342.24
12/18/24, 43459.72, 43688.97, 42300.04, 42326.87
12/17/24, 43656.47, 43656.47, 43336.22, 43449.90
12/16/24, 43825.76, 43951.58, 43686.85, 43717.48
12/13/24, 43929.15, 44054.23, 43790.48, 43828.06
12/12/24, 44168.66, 44208.60, 43903.27, 43914.12
12/11/24, 44300.41, 44376.18, 44135.74, 44148.56
12/10/24, 44291.57, 44470.84, 44186.66, 44247.83
12/09/24, 44637.97, 44728.51, 44382.83, 44401.93
12/06/24, 44824.29, 44923.74, 44596.46, 44642.52
12/05/24, 45038.44, 45059.94, 44747.14, 44765.71
12/04/24, 44941.05, 45073.63, 44799.74, 45014.04
12/03/24, 44769.58, 44914.68, 44574.78, 44705.53
12/02/24, 44925.86, 45001.66, 44710.16, 44782.00
11/29/24, 44760.05, 45071.29, 44760.05, 44910.65
11/27/24, 44837.75, 45003.06, 44690.23, 44722.06
11/26/24, 44614.89, 44903.01, 44426.66, 44860.31
11/25/24, 44385.49, 44815.67, 44385.49, 44736.57
11/22/24, 43871.63, 44323.95, 43871.63, 44296.51
11/21/24, 43538.70, 44020.31, 43345.58, 43870.35
11/20/24, 43296.05, 43465.77, 43074.86, 43408.47
11/19/24, 43243.27, 43380.97, 42938.87, 43268.94
11/18/24, 43431.89, 43505.66, 43297.57, 43389.60
11/15/24, 43587.93, 43647.53, 43350.43, 43444.99
11/14/24, 44032.38, 44080.78, 43704.82, 43750.86
11/13/24, 43880.46, 44141.33, 43829.98, 43958.19
11/12/24, 44359.21, 44405.73, 43887.27, 43910.98
11/11/24, 44057.65, 44486.70, 44057.65, 44293.13
11/08/24, 43768.53, 44157.29, 43733.86, 43988.99
11/07/24, 43718.92, 43823.10, 43641.92, 43729.34
11/06/24, 42850.40, 43778.78, 42850.40, 43729.93
11/05/24, 41835.49, 42258.84, 41766.96, 42221.88
11/04/24, 42004.66, 42035.87, 41647.30, 41794.60
11/01/24, 41869.82, 42326.31, 41869.82, 42052.19
10/31/24, 41956.34, 41991.91, 41704.63, 41763.46
10/30/24, 42249.81, 42457.92, 42141.54, 42141.54
10/29/24, 42323.48, 42491.86, 42171.65, 42233.05
10/28/24, 42264.54, 42476.46, 42264.54, 42387.57
10/25/24, 42477.51, 42594.64, 42051.39, 42114.40
10/24/24, 42522.55, 42522.55, 42191.83, 42374.36
10/23/24, 42834.40, 42834.40, 42293.17, 42514.95
10/22/24, 42876.84, 43041.05, 42718.26, 42924.89
10/21/24, 43222.21, 43310.87, 42877.57, 42931.60
10/18/24, 43187.12, 43325.09, 43036.35, 43275.91
10/17/24, 43119.81, 43289.76, 43119.81, 43239.05
10/16/24, 42706.49, 43100.84, 42692.37, 43077.70
10/15/24, 43240.17, 43277.78, 42703.17, 42740.42
10/14/24, 42800.89, 43139.00, 42707.14, 43065.22
10/11/24, 42507.53, 42899.75, 42507.53, 42863.86
10/10/24, 42511.37, 42511.37, 42308.04, 42454.12
10/09/24, 42070.32, 42562.01, 41993.35, 42512.00
10/08/24, 42022.65, 42128.56, 41874.72, 42080.37
10/07/24, 42289.51, 42293.64, 41831.74, 41954.24
10/04/24, 42248.26, 42361.38, 41972.11, 42352.75
10/03/24, 42099.53, 42125.84, 41847.81, 42011.59
10/02/24, 42125.14, 42259.52, 41968.79, 42196.52
10/01/24, 42262.97, 42322.36, 41945.63, 42156.97
09/30/24, 42289.75, 42347.66, 41929.07, 42330.15
09/27/24, 42227.95, 42628.32, 42227.95, 42313.00
09/26/24, 42113.42, 42224.15, 42036.28, 42175.11
09/25/24, 42236.09, 42299.64, 41859.73, 41914.75
09/24/24, 42234.99, 42281.06, 42056.82, 42208.22
09/23/24, 42060.40, 42190.05, 42012.22, 42124.65
09/20/24, 41959.43, 42138.41, 41865.95, 42063.36
09/19/24, 41972.56, 42160.91, 41832.09, 42025.19
09/18/24, 41628.91, 41981.97, 41449.00, 41503.10
09/17/24, 41723.78, 41835.28, 41470.69, 41606.18
09/16/24, 41435.17, 41733.97, 41435.17, 41622.08
09/13/24, 41153.70, 41533.84, 41128.70, 41393.78
09/12/24, 40862.11, 41107.35, 40665.53, 41096.77
09/11/24, 40638.76, 40903.68, 39993.07, 40861.71
09/10/24, 40916.50, 40916.50, 40417.48, 40736.96
09/09/24, 40555.11, 41000.24, 40518.06, 40829.59
09/06/24, 40756.81, 41009.39, 40297.33, 40345.41
09/05/24, 41056.33, 41084.78, 40519.08, 40755.75
09/04/24, 40872.06, 41172.59, 40840.89, 40974.97
09/03/24, 41489.67, 41489.67, 40778.09, 40936.93
08/30/24, 41366.16, 41585.21, 41145.85, 41563.08
08/29/24, 41345.50, 41577.97, 41086.81, 41335.05
08/28/24, 41250.17, 41351.11, 40842.29, 41091.42
08/27/24, 41186.28, 41271.75, 41109.42, 41250.50
08/26/24, 41200.84, 41420.05, 41140.23, 41240.52
08/23/24, 40879.12, 41207.92, 40842.96, 41175.08
08/22/24, 40932.23, 41026.64, 40584.47, 40712.78
08/21/24, 40881.03, 40974.40, 40738.43, 40890.49
08/20/24, 40874.52, 40909.38, 40756.65, 40834.97
08/19/24, 40670.83, 40907.32, 40670.83, 40896.53
08/16/24, 40528.86, 40726.03, 40453.58, 40659.76
08/15/24, 40295.74, 40590.51, 40295.74, 40563.06
08/14/24, 39800.59, 40068.75, 39737.20, 40008.39
08/13/24, 39445.27, 39792.80, 39392.41, 39765.64
08/12/24, 39556.01, 39587.06, 39251.72, 39357.01
08/09/24, 39408.06, 39628.66, 39230.43, 39497.54
08/08/24, 38940.38, 39508.40, 38922.79, 39446.49
08/07/24, 39230.09, 39477.96, 38731.51, 38763.45
08/06/24, 38736.22, 39449.53, 38638.30, 38997.66
08/05/24, 39056.19, 39056.19, 38499.27, 38703.27
08/02/24, 40075.33, 40075.33, 39358.68, 39737.26
08/01/24, 40916.96, 41096.66, 40098.57, 40347.97
07/31/24, 40768.88, 41198.63, 40655.89, 40842.79
07/30/24, 40622.13, 40866.25, 40529.10, 40743.33
07/29/24, 40665.71, 40682.49, 40388.83, 40539.93
07/26/24, 40140.86, 40753.83, 40140.86, 40589.34
07/25/24, 39828.63, 40438.82, 39817.50, 39935.07
07/24/24, 40210.63, 40258.44, 39807.45, 39853.87
07/23/24, 40443.73, 40527.89, 40319.70, 40358.09
07/22/24, 40414.49, 40472.53, 40222.77, 40415.44
07/19/24, 40592.35, 40626.16, 40203.27, 40287.53
07/18/24, 41156.56, 41376.00, 40597.50, 40665.02
07/17/24, 40862.57, 41221.98, 40849.71, 41198.08
07/16/24, 40263.78, 40988.81, 40263.78, 40954.48
07/15/24, 40138.40, 40351.10, 40136.10, 40211.72
07/12/24, 39783.28, 40257.24, 39783.28, 40000.90
07/11/24, 39695.18, 39875.60, 39623.12, 39753.75
07/10/24, 39272.45, 39736.20, 39256.72, 39721.36
07/09/24, 39357.37, 39492.28, 39146.60, 39291.97
07/08/24, 39391.98, 39654.96, 39278.43, 39344.79
07/05/24, 39313.40, 39399.62, 39168.70, 39375.87
07/03/24, 39358.95, 39411.17, 39230.86, 39308.00
07/02/24, 39108.25, 39340.49, 39085.69, 39331.85
07/01/24, 39186.20, 39438.36, 39037.94, 39169.52
06/28/24, 39092.39, 39443.60, 38937.15, 39118.86
06/27/24, 39107.10, 39250.69, 39026.75, 39164.06
